HINDI,Muni_County_Name,Notices,Ballots,Absentee,VotingEquipment,PollingPlace,Pollworkers,OtherLocalElectionOfficials,Miscellaneous,Notes,Complete
16022,TOWN OF OAKLAND - DOUGLAS COUNTY,93.52,0.00,8.33,17.86,212.62,"1,100.71",0.00,0.00,,1
16024,TOWN OF PARKLAND - DOUGLAS COUNTY,33.52,0.00,0.00,17.86,46.00,713.10,0.00,0.00,,1
16026,TOWN OF SOLON SPRINGS - DOUGLAS COUNTY,184.92,179.47,0.00,524.15,38.50,865.26,0.00,72.95,,1
16028,TOWN OF SUMMIT - DOUGLAS COUNTY,33.52,0.00,10.78,17.86,55.50,797.50,0.00,0.00,,1
16030,TOWN OF SUPERIOR - DOUGLAS COUNTY,38.52,0.00,7.11,17.86,79.00,"1,086.88",90.50,0.00,,1
16032,TOWN OF WASCOTT - DOUGLAS COUNTY,169.62,67.41,60.00,524.15,34.00,"1,002.00",0.00,0.00,,1
16146,VILLAGE OF LAKE NEBAGAMON - DOUGLAS COUNTY,175.92,85.01,30.38,524.15,47.00,808.00,0.00,0.00,,1
16165,VILLAGE OF OLIVER - DOUGLAS COUNTY,161.92,41.75,15.00,524.15,46.00,565.00,0.00,0.00,,1
16171,VILLAGE OF POPLAR - DOUGLAS COUNTY,151.92,50.75,11.00,524.15,24.00,365.00,0.00,0.00,,1
16181,VILLAGE OF SOLON SPRINGS - DOUGLAS COUNTY,171.92,72.01,27.00,524.15,27.00,954.00,0.00,0.00,,1
16182,VILLAGE OF SUPERIOR - DOUGLAS COUNTY,151.92,77.51,0.00,524.15,27.50,472.00,0.00,0.00,,1
16281,CITY OF SUPERIOR - DOUGLAS COUNTY,420.00,"1,000.00",390.00,465.00,"5,555.00","10,845.00",270.00,335.00,,1
17002,TOWN OF COLFAX - DUNN COUNTY,45.00,0.00,0.00,0.00,88.50,990.00,0.00,0.00,,1
17004,TOWN OF DUNN - DUNN COUNTY,11.92,0.00,15.63,50.00,71.00,615.00,0.00,0.00,,1
17006,TOWN OF EAU GALLE - DUNN COUNTY,134.00,0.00,21.20,0.00,195.00,"1,174.50",0.00,0.00,,1
17008,TOWN OF ELK MOUND - DUNN COUNTY,0.00,15.00,10.00,0.00,55.00,774.25,0.00,0.00,,1
17010,TOWN OF GRANT - DUNN COUNTY,18.00,0.00,4.37,0.00,6.00,485.00,0.00,0.00,,1
17012,TOWN OF HAY RIVER - DUNN COUNTY,54.00,0.00,5.88,0.00,0.00,565.50,0.00,0.00,,1
17014,TOWN OF LUCAS - DUNN COUNTY,5.00,0.00,6.00,0.00,0.00,450.00,0.00,43.20,Mileage,1
17016,TOWN OF MENOMONIE - DUNN COUNTY,36.00,0.00,24.00,0.00,20.00,799.50,0.00,0.00,,1
17018,TOWN OF NEW HAVEN - DUNN COUNTY,90.00,0.00,2.94,0.00,0.00,447.50,0.00,102.50,Training,1
17020,TOWN OF OTTER CREEK - DUNN COUNTY,60.00,175.00,5.00,45.00,270.00,500.00,0.00,0.00,,1
17022,TOWN OF PERU - DUNN COUNTY,61.60,0.00,0.00,0.00,0.00,357.00,0.00,0.00,,1
17024,TOWN OF RED CEDAR - DUNN COUNTY,45.00,160.00,45.00,291.00,0.00,"1,154.00",0.00,0.00,,1
17026,TOWN OF ROCK CREEK - DUNN COUNTY,0.00,0.00,7.50,0.00,0.00,480.00,126.36,0.00,,1
17028,TOWN OF SAND CREEK - DUNN COUNTY,0.00,0.00,1.40,0.00,0.00,625.00,0.00,0.00,,1
17030,TOWN OF SHERIDAN - DUNN COUNTY,10.00,0.00,7.20,55.68,10.00,"1,084.20",0.00,0.00,,1
17032,TOWN OF SHERMAN - DUNN COUNTY,150.78,0.00,7.35,0.00,0.00,702.00,0.00,0.00,,1
17034,TOWN OF SPRING BROOK - DUNN COUNTY,29.00,0.00,13.00,10.00,0.00,131.00,0.00,3.00,Voting numbers,1
17036,TOWN OF STANTON - DUNN COUNTY,30.00,0.00,0.00,0.00,0.00,550.00,36.00,0.00,,1
17038,TOWN OF TAINTER - DUNN COUNTY,153.63,211.69,31.36,303.17,0.00,"1,390.00",20.00,792.50,Election Official Training,1
17040,TOWN OF TIFFANY - DUNN COUNTY,84.00,0.00,10.00,90.00,30.00,625.50,0.00,0.00,,1
17042,TOWN OF WESTON - DUNN COUNTY,0.00,0.00,0.98,0.00,0.00,357.39,0.00,72.00,manuals and mileage,1
17044,TOWN OF WILSON - DUNN COUNTY,13.13,0.00,0.49,0.00,12.00,420.00,125.00,0.00,,1
17106,VILLAGE OF BOYCEVILLE - DUNN COUNTY,165.00,0.00,10.00,346.57,45.00,870.00,0.00,0.00,,1
17111,VILLAGE OF COLFAX - DUNN COUNTY,173.00,17.00,35.37,211.25,71.40,896.00,211.55,0.00,,1
17116,VILLAGE OF DOWNING - DUNN COUNTY,0.00,0.00,0.00,0.00,100.00,446.00,0.00,117.50,"Notice, Facsimile Ballot",1
17121,VILLAGE OF ELK MOUND - DUNN COUNTY,50.00,25.00,25.00,230.00,271.39,400.00,894.37,0.00,,1
17141,VILLAGE OF KNAPP - DUNN COUNTY,5.00,0.00,60.00,0.00,0.00,720.00,80.00,0.00,,1
17176,VILLAGE OF RIDGELAND - DUNN COUNTY,0.00,0.00,0.00,0.00,0.00,615.00,0.00,0.00,,1
17191,VILLAGE OF WHEELER - DUNN COUNTY,181.50,10.82,0.00,247.32,0.00,416.25,132.24,0.00,,1
17251,CITY OF MENOMONIE - DUNN COUNTY,71.00,522.00,520.00,"1,416.00",300.00,"8,700.00",300.00,0.00,,1
18002,TOWN OF BRIDGE CREEK - EAU CLAIRE COUNTY,42.47,206.73,16.66,0.00,0.00,515.19,0.00,0.00,,1
18004,TOWN OF BRUNSWICK - EAU CLAIRE COUNTY,0.00,0.00,22.40,0.00,30.00,"1,527.46",71.04,0.00,,1
18006,TOWN OF CLEAR CREEK - EAU CLAIRE COUNTY,80.97,0.00,0.00,0.00,0.00,815.66,0.00,0.00,,1
18008,TOWN OF DRAMMEN - EAU CLAIRE COUNTY,132.00,0.00,22.00,120.00,0.00,765.00,80.00,0.00,,1
18010,TOWN OF FAIRCHILD - EAU CLAIRE COUNTY,69.04,0.00,0.90,0.00,0.00,491.13,0.00,0.00,,1
18012,TOWN OF LINCOLN - EAU CLAIRE COUNTY,120.00,0.00,2.00,0.00,100.00,580.00,0.00,65.00,"Clerk's mileage 80mi x $0.55 = $44.00      Misc. supplies - paper, ink cartridge, pens - $21.00",1
18014,TOWN OF LUDINGTON - EAU CLAIRE COUNTY,55.00,50.00,20.00,0.00,0.00,561.00,0.00,0.00,,1
18016,TOWN OF OTTER CREEK - EAU CLAIRE COUNTY,150.00,0.00,25.00,55.06,0.00,348.00,0.00,90.00,Portable Toilet,1
18018,TOWN OF PLEASANT VALLEY - EAU CLAIRE COUNTY,26.00,80.00,140.00,163.00,115.00,900.00,50.00,0.00,,1
18020,TOWN OF SEYMOUR - EAU CLAIRE COUNTY,105.47,0.00,40.80,0.00,0.00,"1,974.91",84.40,0.00,,1
18022,TOWN OF UNION - EAU CLAIRE COUNTY,0.00,0.00,8.46,0.00,0.00,797.71,0.00,0.00,,1
18024,TOWN OF WASHINGTON - EAU CLAIRE COUNTY,138.14,437.10,692.51,25.00,249.90,"1,430.37",8.50,149.31,,1
18026,TOWN OF WILSON - EAU CLAIRE COUNTY,80.97,0.00,1.00,0.00,87.50,878.35,0.00,100.00,Clerk's wages and mileage - $100.00,1
18126,VILLAGE OF FAIRCHILD - EAU CLAIRE COUNTY,88.04,0.00,2.00,39.10,0.00,520.00,195.00,0.00,,1
18127,VILLAGE OF FALL CREEK - EAU CLAIRE COUNTY,113.64,47.00,13.30,25.00,0.00,591.96,33.00,0.00,,1
18201,CITY OF ALTOONA - EAU CLAIRE COUNTY,113.64,282.00,406.65,100.00,62.00,"3,123.09",0.00,0.00,,1
18202,CITY OF AUGUSTA - EAU CLAIRE COUNTY,498.66,69.00,11.65,75.00,0.00,779.27,726.18,0.00,,1
18221,CITY OF EAU CLAIRE - MULTIPLE COUNTIES,475.00,"5,631.00","1,851.00","2,681.00","6,178.00","51,052.00","54,572.00","1,666.00","Postage for poll worker letters, postcards & paychecks. Duplicating services for County & School. Supplies for the election.",1
19002,TOWN OF AURORA - FLORENCE COUNTY,0.00,0.00,7.00,0.00,0.00,710.00,0.00,0.00,,1
19004,TOWN OF COMMONWEALTH - FLORENCE COUNTY,0.00,0.00,10.00,0.00,100.00,700.00,0.00,0.00,,1
19006,TOWN OF FENCE - FLORENCE COUNTY,0.00,0.00,1.00,0.00,5.00,590.00,0.00,0.00,,1
19008,TOWN OF FERN - FLORENCE COUNTY,0.00,0.00,7.00,50.00,0.00,450.00,0.00,0.00,,1
19010,TOWN OF FLORENCE - FLORENCE COUNTY,22.20,25.00,98.75,27.90,158.00,"1,231.50",48.00,0.00,,1
19012,TOWN OF HOMESTEAD - FLORENCE COUNTY,0.00,0.00,10.00,0.00,0.00,522.00,0.00,0.00,,1
19014,TOWN OF LONG LAKE - FLORENCE COUNTY,0.00,0.00,3.00,0.00,0.00,350.00,0.00,0.00,,1
19016,TOWN OF TIPLER - FLORENCE COUNTY,0.00,0.00,5.00,0.00,0.00,650.00,0.00,0.00,,1
20002,TOWN OF ALTO - FOND DU LAC COUNTY,55.00,0.00,7.00,0.00,168.00,643.00,40.00,0.00,,1
20004,TOWN OF ASHFORD - FOND DU LAC COUNTY,55.00,0.00,0.00,0.00,0.00,"1,040.00",0.00,0.00,,1
20006,TOWN OF AUBURN - FOND DU LAC COUNTY,55.00,0.00,26.40,100.00,24.00,"1,184.00",0.00,0.00,,1
20008,TOWN OF BYRON - FOND DU LAC COUNTY,65.08,0.00,49.00,22.00,0.00,825.00,0.00,132.00,Election Official training.,1
20010,TOWN OF CALUMET - FOND DU LAC COUNTY,67.18,0.00,27.44,0.00,0.00,"1,301.98",0.00,0.00,,1
20012,TOWN OF EDEN - FOND DU LAC COUNTY,65.00,0.00,50.00,0.00,0.00,400.00,0.00,0.00,,1
20014,TOWN OF ELDORADO - FOND DU LAC COUNTY,75.00,0.00,30.00,0.00,0.00,450.00,37.00,0.00,,1
20016,TOWN OF EMPIRE - FOND DU LAC COUNTY,55.00,0.00,92.41,0.00,0.00,588.00,0.00,0.00,,1
20018,TOWN OF FOND DU LAC - FOND DU LAC COUNTY,55.00,0.00,75.00,0.00,0.00,"2,000.00",150.00,30.00,Breakfast,1
20020,TOWN OF FOREST - FOND DU LAC COUNTY,55.00,0.00,25.00,15.00,0.00,475.00,0.00,0.00,,1
20022,TOWN OF FRIENDSHIP - FOND DU LAC COUNTY,65.78,0.00,48.02,0.00,0.00,"1,222.50",310.00,25.90,Snacks for Election Officials,1
20024,TOWN OF LAMARTINE - FOND DU LAC COUNTY,55.00,0.00,20.00,0.00,0.00,"1,120.00",45.00,0.00,,1
20026,TOWN OF MARSHFIELD - FOND DU LAC COUNTY,94.00,0.00,135.00,0.00,171.00,419.00,61.00,0.00,,1
20028,TOWN OF METOMEN - FOND DU LAC COUNTY,55.00,0.00,60.00,110.00,40.00,900.00,60.00,400.00,"Clerk-trainings, process absentees, public test, election day, Board of Canvassers",1
20030,TOWN OF OAKFIELD - FOND DU LAC COUNTY,55.00,0.00,9.60,11.48,0.00,925.00,0.00,230.00,Election officials wages for election training.,1
20032,TOWN OF OSCEOLA - FOND DU LAC COUNTY,55.00,0.00,61.71,0.00,0.00,933.25,0.00,0.00,,1
20034,TOWN OF RIPON - FOND DU LAC COUNTY,55.00,0.00,15.60,116.85,0.00,979.25,9.00,148.76,"mileage reimbursement - $104.76; Food, election officials - $44.00",1
20036,TOWN OF ROSENDALE - FOND DU LAC COUNTY,55.00,0.00,5.39,0.00,0.00,478.50,0.00,327.00,Mileage - $66.00; election training - $261.00,1
20038,TOWN OF SPRINGVALE - FOND DU LAC COUNTY,80.00,0.00,18.00,0.00,0.00,450.00,0.00,0.00,,1
20040,TOWN OF TAYCHEEDAH - FOND DU LAC COUNTY,164.76,200.00,93.60,100.00,0.00,"2,522.57",997.55,0.00,,1
20042,TOWN OF WAUPUN - FOND DU LAC COUNTY,65.00,0.00,11.20,0.00,0.00,745.00,0.00,0.00,,1
20106,VILLAGE OF BRANDON - FOND DU LAC COUNTY,178.00,50.00,17.64,100.00,30.27,400.62,33.50,43.20,Mileage to pick up supplies and return results.,1
20111,VILLAGE OF CAMPBELLSPORT - FOND DU LAC COUNTY,180.00,95.00,35.00,130.00,35.00,"1,150.00",25.00,0.00,,1
20121,VILLAGE OF EDEN - FOND DU LAC COUNTY,130.00,45.00,50.00,80.00,50.00,"1,000.00",150.00,0.00,,1
20126,VILLAGE OF FAIRWATER - FOND DU LAC COUNTY,105.00,40.00,1.00,60.00,0.00,540.00,0.00,0.00,,1
20151,VILLAGE OF MOUNT CALVARY - FOND DU LAC COUNTY,110.39,15.00,9.00,60.00,0.00,418.50,0.00,0.00,,1
20161,VILLAGE OF NORTH FOND DU LAC - FOND DU LAC COUNTY,130.00,145.00,210.80,80.00,0.00,"1,946.00",0.00,0.00,,1
20165,VILLAGE OF OAKFIELD - FOND DU LAC COUNTY,211.37,80.00,54.39,129.38,0.00,522.87,421.51,0.00,,1
20176,VILLAGE OF ROSENDALE - FOND DU LAC COUNTY,150.00,45.00,2.88,80.00,135.00,692.00,0.00,0.00,,1
20181,VILLAGE OF ST. CLOUD - FOND DU LAC COUNTY,130.00,45.00,0.00,80.00,0.00,368.00,116.00,0.00,,1
20226,CITY OF FOND DU LAC - FOND DU LAC COUNTY,318.90,"2,000.00","5,454.00","1,000.00","4,100.00","16,326.00","1,500.00",0.00,,1
20276,CITY OF RIPON - FOND DU LAC COUNTY,189.20,250.00,227.46,350.00,663.21,"4,679.22",214.73,0.00,,1
21002,TOWN OF ALVIN - FOREST COUNTY,0.00,0.00,0.00,62.50,0.00,650.00,0.00,0.00,,1
21004,TOWN OF ARGONNE - FOREST COUNTY,30.00,0.00,8.00,100.00,0.00,"1,290.00",0.00,0.00,,1
21006,TOWN OF ARMSTRONG CREEK - FOREST COUNTY,94.17,0.00,0.00,62.50,250.00,880.00,0.00,87.30,Meals for Election workers ,1
21008,TOWN OF BLACKWELL - FOREST COUNTY,0.00,0.00,0.00,0.00,2.50,"1,048.26",0.00,83.33,Provider Fees,1
21010,TOWN OF CASWELL - FOREST COUNTY,0.00,0.00,0.00,62.06,19.00,"1,211.81",0.00,0.00,,1
21012,TOWN OF CRANDON - FOREST COUNTY,0.00,69.00,1.80,200.00,0.00,615.00,0.00,75.00,Meals for Election Board,1
21014,TOWN OF FREEDOM - FOREST COUNTY,1.00,0.00,12.83,50.00,39.06,409.32,0.00,0.00,,1
21016,TOWN OF HILES - FOREST COUNTY,94.16,0.00,60.00,250.00,0.00,652.76,63.00,0.00,,1
21018,TOWN OF LAONA - FOREST COUNTY,0.00,0.00,45.00,0.00,40.00,885.00,0.00,0.00,,1
21020,TOWN OF LINCOLN - FOREST COUNTY,135.00,0.00,40.00,120.00,45.00,775.00,90.00,0.00,,1
21022,TOWN OF NASHVILLE - FOREST COUNTY,5.00,0.00,38.00,137.50,0.00,"1,249.00",95.00,0.00,,1
21024,TOWN OF POPPLE RIVER - FOREST COUNTY,0.00,0.00,0.00,62.50,0.00,360.00,0.00,0.00,,1
21026,TOWN OF ROSS - FOREST COUNTY,45.00,0.00,10.00,62.50,250.00,450.00,29.00,0.00,,1
21028,TOWN OF WABENO - FOREST COUNTY,0.00,0.00,9.40,137.50,0.00,"1,165.50",0.00,0.00,,1
21211,CITY OF CRANDON - FOREST COUNTY,30.00,53.20,45.00,50.00,50.00,"1,120.00",0.00,0.00,,1
22002,TOWN OF BEETOWN - GRANT COUNTY,0.00,0.00,1.96,360.00,82.00,572.00,0.00,0.00,,1
22004,TOWN OF BLOOMINGTON - GRANT COUNTY,0.00,0.00,4.90,0.00,0.00,421.25,0.00,0.00,,1
22006,TOWN OF BOSCOBEL - GRANT COUNTY,0.00,0.00,4.26,127.77,25.00,600.00,0.00,117.50,ELECTION WORKER TRAINING,1
22008,TOWN OF CASSVILLE - GRANT COUNTY,0.00,0.00,0.00,50.00,0.00,460.00,0.00,0.00,,1
22010,TOWN OF CASTLE ROCK - GRANT COUNTY,0.00,0.00,0.00,100.00,700.00,700.00,0.00,0.00,,1
22012,TOWN OF CLIFTON - GRANT COUNTY,0.00,0.00,0.00,0.00,0.00,500.00,0.00,30.00,MILEAGE AND COPIES,1
22014,TOWN OF ELLENBORO - GRANT COUNTY,0.00,0.00,5.00,400.00,0.00,475.00,0.00,0.00,,1
22016,TOWN OF FENNIMORE - GRANT COUNTY,0.00,0.00,1.50,0.00,0.00,340.00,0.00,0.00,,1
22018,TOWN OF GLEN HAVEN - GRANT COUNTY,30.00,0.00,0.00,0.00,0.00,522.00,0.00,0.00,,1
22020,TOWN OF HARRISON - GRANT COUNTY,0.00,0.00,2.00,0.00,0.00,210.00,0.00,29.00,MILEAGE TO DROP RESULTS OFF TO 3 DIFFERENT SCHOOL DISTRICTS AND TO COUNTY CLERK,1
22022,TOWN OF HAZEL GREEN - GRANT COUNTY,0.00,0.00,0.00,0.00,50.00,927.00,0.00,0.00,,1
22024,TOWN OF HICKORY GROVE - GRANT COUNTY,0.00,0.00,0.00,0.00,150.00,460.00,0.00,0.00,,1
22026,TOWN OF JAMESTOWN - GRANT COUNTY,35.00,0.00,25.00,0.00,140.00,"1,420.00",0.00,0.00,,1
22028,TOWN OF LIBERTY - GRANT COUNTY,0.00,0.00,0.00,100.00,40.00,504.00,0.00,0.00,,1
22030,TOWN OF LIMA - GRANT COUNTY,0.00,0.00,0.69,80.00,24.00,800.00,0.00,0.00,,1
22032,TOWN OF LITTLE GRANT - GRANT COUNTY,29.25,0.00,1.18,90.00,75.00,440.00,0.00,0.00,,1
22034,TOWN OF MARION - GRANT COUNTY,0.00,0.00,11.46,190.00,35.00,504.31,0.00,230.44,"TRAINING CHIEF INSPECTOR, MILEAGE, SUPPLIES",1
22036,TOWN OF MILLVILLE - GRANT COUNTY,0.00,0.00,0.00,660.00,61.30,832.50,0.00,131.58,"MILEAGE, DELIVER OF BALLOTS, MILEAGE TO DELIVER VOTING MACHINE EQUIPMENT TO LANCASTER FO MAINTENANCE.",1
22038,TOWN OF MOUNT HOPE - GRANT COUNTY,0.00,0.00,0.88,0.00,50.00,330.00,0.00,20.00,MILEAGE TO DELIVER TO THREE SCHOOL DISTRICTS AND COUNTY CLERK,1
22040,TOWN OF MOUNT IDA - GRANT COUNTY,0.00,0.00,0.00,0.00,0.00,345.00,0.00,0.00,,1
22042,TOWN OF MUSCODA - GRANT COUNTY,0.00,0.00,7.00,100.00,0.00,520.00,0.00,0.00,,1
22044,TOWN OF NORTH LANCASTER - GRANT COUNTY,7.50,0.00,1.50,0.00,15.00,450.00,0.00,0.00,,1
22046,TOWN OF PARIS - GRANT COUNTY,0.00,0.00,4.41,0.00,0.00,459.00,0.00,563.41,"LIGHTS, HEATING, CLEANING",1
22048,TOWN OF PATCH GROVE - GRANT COUNTY,0.00,0.00,8.00,20.00,0.00,640.00,0.00,0.00,,1
22050,TOWN OF PLATTEVILLE - GRANT COUNTY,0.00,83.00,22.64,0.00,0.00,950.00,0.00,0.00,,1
22052,TOWN OF POTOSI - GRANT COUNTY,0.00,0.00,0.00,0.00,0.00,357.00,0.00,0.00,,1
22054,TOWN OF SMELSER - GRANT COUNTY,0.00,0.00,2.73,0.00,0.00,338.00,0.00,0.00,,1
22056,TOWN OF SOUTH LANCASTER - GRANT COUNTY,0.00,0.00,0.00,0.00,7.50,455.00,0.00,0.00,,1
22058,TOWN OF WATERLOO - GRANT COUNTY,0.00,0.00,3.92,0.00,0.00,800.00,0.00,20.00,MILEAGE TO DELIVER TO THREE SCHOOL DISTRICT AND COUNTY CLERK,1
22060,TOWN OF WATTERSTOWN - GRANT COUNTY,0.00,0.00,1.50,0.00,0.00,476.00,0.00,0.00,,1
22062,TOWN OF WINGVILLE - GRANT COUNTY,0.00,0.00,0.00,27.25,100.00,462.00,100.00,0.00,,1
22064,TOWN OF WOODMAN - GRANT COUNTY,0.00,0.00,0.71,360.00,45.00,395.00,0.00,0.00,,1
22066,TOWN OF WYALUSING - GRANT COUNTY,0.00,0.00,5.00,0.00,10.00,765.00,0.00,0.00,,1
22106,VILLAGE OF BAGLEY - GRANT COUNTY,5.00,5.00,10.00,400.00,0.00,600.00,0.00,0.00,,1
22107,VILLAGE OF BLOOMINGTON - GRANT COUNTY,76.50,86.25,69.86,127.50,1.25,930.99,0.00,0.00,,1
22108,VILLAGE OF BLUE RIVER - GRANT COUNTY,62.50,24.00,2.94,0.00,11.88,"1,034.50",0.00,0.00,,1
22111,VILLAGE OF CASSVILLE - GRANT COUNTY,40.00,25.00,5.00,50.00,150.00,450.00,0.00,760.00,"SVRX PROVIDER CONTRACT, COMMAN CENTRAL MAINTENANCE AGREEMENT",1
22116,VILLAGE OF DICKEYVILLE - GRANT COUNTY,228.83,0.00,15.00,0.00,0.00,"1,066.00",500.00,0.00,,1
22136,VILLAGE OF HAZEL GREEN - MULTIPLE COUNTIES,904.98,0.00,150.50,444.17,0.00,"2,915.97",0.00,0.00,,1
22147,VILLAGE OF LIVINGSTON - MULTIPLE COUNTIES,55.00,70.00,2.00,650.00,100.00,850.00,350.00,750.00,SVRS PROVIDER CONTRACT FOR GRANT AND IOWA COUNTY,1
22151,VILLAGE OF MONTFORT - MULTIPLE COUNTIES,0.00,0.00,26.37,496.88,245.82,"1,026.00",59.32,300.00,Iowa County SVRS Fees,1
22152,VILLAGE OF MOUNT HOPE - GRANT COUNTY,0.00,7.90,0.49,0.00,0.00,330.00,0.00,0.00,,1
22153,VILLAGE OF MUSCODA - MULTIPLE COUNTIES,0.00,13.00,1.00,0.00,0.00,258.75,0.00,0.00,,1
22171,VILLAGE OF PATCH GROVE - GRANT COUNTY,0.00,13.00,1.00,0.00,0.00,258.75,0.00,0.00,,1
22172,VILLAGE OF POTOSI - GRANT COUNTY,1.00,110.00,5.00,"1,175.00",0.00,360.00,222.00,0.00,,1
22186,VILLAGE OF TENNYSON - GRANT COUNTY,89.75,14.08,2.30,0.00,0.00,502.31,0.00,0.00,,1
22191,VILLAGE OF WOODMAN - GRANT COUNTY,0.00,0.00,0.00,75.00,0.00,574.00,0.00,0.00,,1
22206,CITY OF BOSCOBEL - GRANT COUNTY,293.75,0.00,44.76,0.00,89.10,"1,321.81","1,240.80",0.00,We had no miscellaneous items for #8.  We have $.00 listed for #2 & #4. There was a cost for both of these but Grant County paid for it. AH,1
22211,CITY OF CUBA CITY - MULTIPLE COUNTIES,382.00,0.00,12.00,252.00,0.00,696.00,0.00,0.00,,1
22226,CITY OF FENNIMORE - GRANT COUNTY,213.00,11.00,34.00,275.00,193.00,914.00,787.00,0.00,,1
22246,CITY OF LANCASTER - GRANT COUNTY,"1,901.00",400.00,108.00,600.00,0.00,"1,248.00",64.00,0.00,,1
22271,CITY OF PLATTEVILLE - GRANT COUNTY,114.00,0.00,211.00,"2,600.00","1,400.00","4,647.00","1,902.00",0.00,,1
23002,TOWN OF ADAMS - GREEN COUNTY,0.00,0.00,0.00,0.00,426.00,0.00,0.00,0.00,,1
23004,TOWN OF ALBANY - GREEN COUNTY,10.00,0.00,15.00,14.00,0.00,495.00,0.00,28.00,mileage,1
23006,TOWN OF BROOKLYN - GREEN COUNTY,100.00,0.00,13.00,0.00,0.00,385.00,0.00,0.00,,1
23008,TOWN OF CADIZ - GREEN COUNTY,10.00,0.00,12.00,"2,000.00",0.00,329.00,11.00,0.00,,1
23010,TOWN OF CLARNO - GREEN COUNTY,0.00,0.00,0.00,666.00,0.00,80.00,0.00,36.00,cleaning polling place,1
23012,TOWN OF DECATUR - GREEN COUNTY,21.00,0.00,38.00,0.00,0.00,598.00,99.00,0.00,,1
23014,TOWN OF EXETER - GREEN COUNTY,30.00,10.00,50.00,35.00,100.00,450.00,354.00,0.00,,1
23016,TOWN OF JEFFERSON - GREEN COUNTY,15.00,0.00,20.00,30.00,40.00,525.00,0.00,0.00,,1
23018,TOWN OF JORDAN - GREEN COUNTY,10.00,0.00,38.00,7.00,33.00,378.00,14.00,0.00,,1
23020,TOWN OF MONROE - GREEN COUNTY,10.00,0.00,20.00,0.00,0.00,660.00,0.00,0.00,,1
23022,TOWN OF MOUNT PLEASANT - GREEN COUNTY,96.00,0.00,5.00,0.00,200.00,378.00,0.00,36.00,"tape, notebook,three ring binders pens",1
23024,TOWN OF NEW GLARUS - GREEN COUNTY,15.00,0.00,60.00,0.00,0.00,875.00,0.00,0.00,,1
23026,TOWN OF SPRING GROVE - GREEN COUNTY,25.00,0.00,20.00,15.00,35.00,312.00,0.00,0.00,,1
23028,TOWN OF SYLVESTER - GREEN COUNTY,0.00,0.00,17.00,"2,000.00",0.00,294.00,0.00,0.00,,1
23030,TOWN OF WASHINGTON - GREEN COUNTY,10.00,0.00,5.00,0.00,0.00,283.00,0.00,190.00,porta potty 80  phone installation 110,1
23032,TOWN OF YORK - GREEN COUNTY,32.00,0.00,294.00,117.00,30.00,441.00,0.00,50.00,mileage,1
23101,VILLAGE OF ALBANY - GREEN COUNTY,0.00,0.00,2.00,25.00,0.00,488.00,0.00,0.00,,1
23110,VILLAGE OF BROWNTOWN - GREEN COUNTY,40.00,0.00,1.00,0.00,0.00,465.00,0.00,0.00,,1
23151,VILLAGE OF MONTICELLO - GREEN COUNTY,15.00,0.00,35.00,0.00,275.00,382.00,0.00,0.00,,1
23161,VILLAGE OF NEW GLARUS - GREEN COUNTY,32.00,0.00,32.00,0.00,131.00,668.00,30.00,0.00,,1
23206,CITY OF BRODHEAD - MULTIPLE COUNTIES,98.00,0.00,33.00,30.00,0.00,"1,294.00",51.00,240.00,,1
23251,CITY OF MONROE - GREEN COUNTY,114.00,13.00,150.00,0.00,484.00,"4,977.00",196.00,2.00,other misc. postage,1
24002,TOWN OF BERLIN - GREEN LAKE COUNTY,105.10,177.00,14.95,61.97,0.00,740.00,0.00,57.00,New voter registration and address changes charged by the county to enter into SVRS(WisVote).,1
24004,TOWN OF BROOKLYN - GREEN LAKE COUNTY,43.65,0.00,71.00,"1,446.82",524.39,"2,355.03",0.00,33.96,"Supplies, dividers for poll books, notebooks, pens",1
24006,TOWN OF GREEN LAKE - GREEN LAKE COUNTY,47.29,393.00,42.00,0.00,0.00,730.00,0.00,0.00,,1
24008,TOWN OF KINGSTON - GREEN LAKE COUNTY,91.09,114.00,0.00,61.97,0.00,493.00,133.00,27.50,Fee to Green Lake County for provider services,1
24010,TOWN OF MACKFORD - GREEN LAKE COUNTY,0.00,2.00,1.00,0.00,0.00,753.64,0.00,45.97,"entering new/changed voters, chain of command, and shipping costs.",1
24012,TOWN OF MANCHESTER - GREEN LAKE COUNTY,62.49,0.00,5.88,0.00,51.97,310.00,0.00,0.00,,1
24014,TOWN OF MARQUETTE - GREEN LAKE COUNTY,54.46,36.00,40.66,0.00,30.00,494.00,0.00,0.00,,1
24016,TOWN OF PRINCETON - GREEN LAKE COUNTY,177.20,321.00,25.00,0.00,0.00,641.07,0.00,251.47,new voter registrations chain of custody address changes outdoor restroom rental shipping/handling,1
24018,TOWN OF ST. MARIE - GREEN LAKE COUNTY,154.00,56.00,30.00,75.00,235.00,632.00,0.00,0.00,,1
24020,TOWN OF SENECA - GREEN LAKE COUNTY,91.70,25.00,1.96,29.97,35.50,465.75,0.00,0.00,,1
24141,VILLAGE OF KINGSTON - GREEN LAKE COUNTY,117.00,0.00,5.00,27.50,45.00,350.00,0.00,0.00,,1
24154,VILLAGE OF MARQUETTE - GREEN LAKE COUNTY,47.29,0.00,3.60,27.47,0.00,435.00,0.00,39.00,chain of custody - $20.00 voter registrations - $12.00 address changes - $7.00,1
