HINDI,Muni_County_Name,Notices,Ballots,Absentee,VotingEquipment,PollingPlace,Pollworkers,OtherLocalElectionOfficials,Miscellaneous,Notes
17014,TOWN OF LUCAS - DUNN COUNTY,$5.00,$0.00,$33.00,$570.00,$0.00,$640.00,$0.00,$22.00,
17016,TOWN OF MENOMONIE - DUNN COUNTY,$16.00,$0.00,$75.00,$16.00,$0.00,"$1,742.00",$0.00,$0.00,
17018,TOWN OF NEW HAVEN - DUNN COUNTY,$144.00,$0.00,$23.00,$0.00,$0.00,$735.00,$0.00,$60.00,Training
17020,TOWN OF OTTER CREEK - DUNN COUNTY,$80.00,$200.00,$12.00,$25.00,$290.00,$575.00,$0.00,$290.00,"Porta Potty, electricity, propane heat, delivery of ballots"
17022,TOWN OF PERU - DUNN COUNTY,$61.00,$0.00,$1.00,$0.00,$0.00,$523.00,$0.00,$0.00,
17024,TOWN OF RED CEDAR - DUNN COUNTY,$89.00,$0.00,$125.00,$0.00,$89.00,"$1,909.00",$0.00,$53.00,misc supplies
17026,TOWN OF ROCK CREEK - DUNN COUNTY,$5.00,$0.00,$13.00,$0.00,$0.00,$648.00,$0.00,$54.00,mileage
17028,TOWN OF SAND CREEK - DUNN COUNTY,$0.00,$0.00,$0.00,$0.00,$0.00,$625.00,$0.00,$0.00,
17030,TOWN OF SHERIDAN - DUNN COUNTY,$10.00,$0.00,$10.00,$570.00,$10.00,$657.00,$0.00,$0.00,
17032,TOWN OF SHERMAN - DUNN COUNTY,$37.00,$0.00,$27.00,$0.00,$112.00,$882.00,$0.00,$0.00,
17034,TOWN OF SPRING BROOK - DUNN COUNTY,$31.00,$0.00,$34.00,$10.00,$0.00,"$1,200.00",$0.00,$10.00,Voter number stickers
17036,TOWN OF STANTON - DUNN COUNTY,$35.00,$0.00,$24.00,$0.00,$0.00,$512.00,$0.00,$0.00,
17038,TOWN OF TAINTER - DUNN COUNTY,$111.91,$0.00,$111.86,$136.09,$0.00,"$3,040.00",$20.00,$0.00,
17040,TOWN OF TIFFANY - DUNN COUNTY,$84.00,$0.00,$40.00,$30.00,$20.00,$946.00,$27.00,$0.00,
17042,TOWN OF WESTON - DUNN COUNTY,$5.00,$0.00,$2.00,$0.00,$50.00,$341.00,$0.00,$0.00,
17044,TOWN OF WILSON - DUNN COUNTY,$29.00,$0.00,$6.00,$0.00,$0.00,$405.00,$125.00,$0.00,
17106,VILLAGE OF BOYCEVILLE - DUNN COUNTY,$30.00,$0.00,$40.00,$50.00,$30.00,$705.00,$0.00,$57.00,"voting screens, I voted stickers"
17111,VILLAGE OF COLFAX - DUNN COUNTY,$100.00,$0.00,$49.00,$0.00,$115.00,"$1,268.00",$0.00,$570.00,Command Central Costs
17116,VILLAGE OF DOWNING - DUNN COUNTY,$45.00,$0.00,$0.00,$0.00,$130.00,$462.00,$0.00,$0.00,
17121,VILLAGE OF ELK MOUND - DUNN COUNTY,$50.00,$25.00,$50.00,$610.00,$280.00,"$3,390.00","$3,492.00",$0.00,
17141,VILLAGE OF KNAPP - DUNN COUNTY,$10.00,$0.00,$50.00,$0.00,$70.00,$720.00,$0.00,$0.00,
17176,VILLAGE OF RIDGELAND - DUNN COUNTY,$10.00,$0.00,$0.00,$0.00,$0.00,$765.00,$0.00,$0.00,
17191,VILLAGE OF WHEELER - DUNN COUNTY,$182.00,$11.00,$0.00,$247.00,$0.00,$416.00,$132.00,$0.00,
17251,CITY OF MENOMONIE - DUNN COUNTY,$40.00,$0.00,$386.00,$10.00,"$1,287.00","$11,411.00",$400.00,$0.00,
18002,TOWN OF BRIDGE CREEK - EAU CLAIRE COUNTY,$58.00,$38.14,$57.50,$29.00,$60.00,$561.14,$0.00,$141.75,Clerk mileage reimbursement (as our township pays mileage)-met with absentee voters at the Bridge Creek Annex (which I tried to accommodate as many on the same day as possible).  Also includes mileage for delivering ballots to courthouse the night of the election.
18004,TOWN OF BRUNSWICK - EAU CLAIRE COUNTY,$106.88,$0.00,$104.50,$100.00,$41.41,"$1,323.14",$270.89,$0.00,
18006,TOWN OF CLEAR CREEK - EAU CLAIRE COUNTY,$116.90,$0.00,$500.00,$0.00,$0.00,$752.18,$0.00,$0.00,
18008,TOWN OF DRAMMEN - EAU CLAIRE COUNTY,$59.00,$0.00,$42.00,$161.00,$0.00,$940.00,$0.00,$0.00,n/a
18010,TOWN OF FAIRCHILD - EAU CLAIRE COUNTY,$66.00,$0.00,$0.00,$270.00,$0.00,$502.10,$0.00,$30.00,"$30.00 mileage for the clerk #4 was maintenance of the machine renewal #2 and #3 costs in Eau Claire County records as to the cost of ballots, paper rolls, etc."
18012,TOWN OF LINCOLN - EAU CLAIRE COUNTY,$62.00,$0.00,$50.00,$120.00,$50.00,$850.00,$0.00,$119.00,"5. Cleaning fees-before and after. 8. Mileage for clerk-165 miles @ $0.54=$89.00 8. Misc. Supplies-Cleaning supplies, sidewalk salt"
18014,TOWN OF LUDINGTON - EAU CLAIRE COUNTY,$200.00,$0.00,$50.00,$150.00,$25.00,$800.00,$0.00,$0.00,n/a
18016,TOWN OF OTTER CREEK - EAU CLAIRE COUNTY,$250.00,$0.00,$10.00,$0.00,$0.00,$450.00,$0.00,$90.00,Portable toilet
18018,TOWN OF PLEASANT VALLEY - EAU CLAIRE COUNTY,$60.00,$0.00,$650.00,$50.00,$150.00,"$1,945.00",$0.00,$0.00,
18020,TOWN OF SEYMOUR - EAU CLAIRE COUNTY,$58.61,$0.00,$118.58,$0.00,$0.00,"$1,874.98",$49.00,$60.41,Miscellaneous=mileage to deliver results to county and school district.  Also includes cost of lunch for poll workers.
18022,TOWN OF UNION - EAU CLAIRE COUNTY,$0.00,$0.00,$74.27,$570.00,$169.00,"$1,044.23",$0.00,$128.11,
18024,TOWN OF WASHINGTON - EAU CLAIRE COUNTY,$50.00,$0.00,"$1,668.28",$100.00,$431.31,"$1,880.75",$658.25,$110.52,meal and drinks for poll workers
18026,TOWN OF WILSON - EAU CLAIRE COUNTY,$58.61,$0.00,$20.00,$0.00,$0.00,$730.00,$0.00,$0.00,n/a
18126,VILLAGE OF FAIRCHILD - EAU CLAIRE COUNTY,$135.00,$0.00,$12.00,$0.00,$60.00,$830.00,$0.00,$291.00,$81.00-mileage to courthouse with ballots and also for recount  $210.00-clerk wages
18127,VILLAGE OF FALL CREEK - EAU CLAIRE COUNTY,$31.18,$0.00,$48.40,$0.00,$0.00,$915.84,$27.13,$0.00,n/a
18201,CITY OF ALTOONA - EAU CLAIRE COUNTY,$31.18,$0.00,$293.17,$0.00,$52.00,"$3,633.42","$1,815.41",$0.00,
18202,CITY OF AUGUSTA - EAU CLAIRE COUNTY,$75.57,$0.00,$21.96,$0.00,$74.79,"$1,062.60","$1,226.55",$0.00,n/a
18221,CITY OF EAU CLAIRE - MULTIPLE COUNTIES,$89.00,$0.00,"$2,645.00",$0.00,"$4,347.00","$71,440.00","$36,778.00",$0.00,
19002,TOWN OF AURORA - FLORENCE COUNTY,$0.00,$0.00,$25.00,$0.00,$100.00,$950.00,$50.00,$0.00,
19004,TOWN OF COMMONWEALTH - FLORENCE COUNTY,$0.00,$0.00,$50.00,$0.00,$100.00,"$1,000.00",$100.00,$0.00,
19006,TOWN OF FENCE - FLORENCE COUNTY,$0.00,$0.00,$4.00,$260.00,$0.00,$619.00,$0.00,$0.00,
19008,TOWN OF FERN - FLORENCE COUNTY,$0.00,$0.00,$56.00,$100.00,$100.00,"$1,100.00",$120.00,$100.00,
19010,TOWN OF FLORENCE - FLORENCE COUNTY,$55.00,$75.00,$172.26,$80.00,$207.75,"$1,288.00",$65.00,$0.00,
19012,TOWN OF HOMESTEAD - FLORENCE COUNTY,$0.00,$0.00,$15.00,$0.00,$0.00,$555.00,$0.00,$0.00,
19014,TOWN OF LONG LAKE - FLORENCE COUNTY,$0.00,$0.00,$55.38,$0.00,$0.00,$433.50,$685.13,$0.00,
19016,TOWN OF TIPLER - FLORENCE COUNTY,$25.00,$10.00,$25.00,$100.00,$0.00,$550.00,$100.00,$0.00,
20002,TOWN OF ALTO - FOND DU LAC COUNTY,$40.00,$0.00,$20.00,$0.00,$0.00,$900.00,$0.00,$0.00,
20004,TOWN OF ASHFORD - FOND DU LAC COUNTY,$40.00,$0.00,$0.00,$0.00,$0.00,"$1,170.00",$0.00,$0.00,
20006,TOWN OF AUBURN - FOND DU LAC COUNTY,$61.53,$0.00,$134.52,$0.00,$0.00,"$1,676.00",$0.00,$0.00,
20008,TOWN OF BYRON - FOND DU LAC COUNTY,$50.78,$0.00,$69.49,$50.00,$160.26,"$1,684.00",$0.00,$0.00,
20010,TOWN OF CALUMET - FOND DU LAC COUNTY,$52.00,$0.00,$103.15,$0.00,$0.00,"$1,635.05",$0.00,$0.00,
20012,TOWN OF EDEN - FOND DU LAC COUNTY,$40.00,$0.00,$100.00,$100.00,$0.00,"$1,500.00",$0.00,$0.00,
20014,TOWN OF ELDORADO - FOND DU LAC COUNTY,$40.00,$0.00,$42.00,$0.00,$20.00,$725.00,$50.00,$0.00,
20016,TOWN OF EMPIRE - FOND DU LAC COUNTY,$40.00,$0.00,$196.00,$11.00,$0.00,$883.00,$0.00,$0.00,
20018,TOWN OF FOND DU LAC - FOND DU LAC COUNTY,$40.00,$0.00,$130.00,$0.00,$250.00,"$3,600.00",$0.00,$50.00,Breakfast
20020,TOWN OF FOREST - FOND DU LAC COUNTY,$40.00,$0.00,$49.00,$15.00,$0.00,$844.00,$0.00,$0.00,
20022,TOWN OF FRIENDSHIP - FOND DU LAC COUNTY,$40.00,$0.00,$235.00,$0.00,$0.00,"$2,200.00",$0.00,$0.00,
20024,TOWN OF LAMARTINE - FOND DU LAC COUNTY,$40.00,$0.00,$53.00,$22.00,$35.00,"$1,318.00",$505.00,$0.00,
20026,TOWN OF MARSHFIELD - FOND DU LAC COUNTY,$83.00,$0.00,$327.00,$200.00,$130.00,$529.00,$77.00,$0.00,
20028,TOWN OF METOMEN - FOND DU LAC COUNTY,$40.00,$0.00,$50.00,$70.00,$0.00,$915.00,$300.00,$0.00,
20030,TOWN OF OAKFIELD - FOND DU LAC COUNTY,$52.18,$0.00,$8.16,$0.00,$0.00,$910.00,$0.00,$0.00,
20032,TOWN OF OSCEOLA - FOND DU LAC COUNTY,$40.00,$0.00,$0.00,$0.00,$0.00,"$1,108.22",$0.00,$0.00,
20034,TOWN OF RIPON - FOND DU LAC COUNTY,$76.00,$0.00,$37.44,$0.00,$0.00,"$1,275.60",$0.00,$0.00,
20036,TOWN OF ROSENDALE - FOND DU LAC COUNTY,$40.00,$0.00,$11.50,$0.00,$0.00,$867.90,$0.00,$0.00,
20038,TOWN OF SPRINGVALE - FOND DU LAC COUNTY,$40.00,$0.00,$45.00,$0.00,$0.00,$650.00,$0.00,$0.00,
20040,TOWN OF TAYCHEEDAH - FOND DU LAC COUNTY,$50.78,$0.00,$164.45,$0.00,$0.00,"$2,363.12","$2,044.88","$4,635.00",Estimate for clerk's time with absentees & before/after work - 300 hours
20042,TOWN OF WAUPUN - FOND DU LAC COUNTY,$51.00,$0.00,$70.00,$0.00,$0.00,"$1,247.00",$0.00,$0.00,
20106,VILLAGE OF BRANDON - FOND DU LAC COUNTY,$52.18,$0.00,$9.20,$0.00,$73.47,$507.47,$0.00,$0.00,
20111,VILLAGE OF CAMPBELLSPORT - FOND DU LAC COUNTY,$290.00,$625.00,$25.00,$0.00,$56.00,"$3,500.00",$80.00,$0.00,
20121,VILLAGE OF EDEN - FOND DU LAC COUNTY,$40.00,$0.00,$47.00,$0.00,$0.00,"$1,300.00",$100.00,$100.00,"food, beverages, stickers, candy, etc."
20126,VILLAGE OF FAIRWATER - FOND DU LAC COUNTY,$40.00,$0.00,$5.64,$0.00,$0.00,$510.00,$0.00,$0.00,
20151,VILLAGE OF MOUNT CALVARY - FOND DU LAC COUNTY,$51.48,$0.00,$6.44,$0.00,$0.00,$468.00,$0.00,$0.00,
20161,VILLAGE OF NORTH FOND DU LAC - FOND DU LAC COUNTY,$40.00,$850.00,$97.00,$750.00,"$3,576.00",$0.00,$0.00,$0.00,
20165,VILLAGE OF OAKFIELD - FOND DU LAC COUNTY,$49.38,$0.00,$20.00,$0.00,$0.00,$504.00,$20.00,$0.00,
20176,VILLAGE OF ROSENDALE - FOND DU LAC COUNTY,$60.00,$0.00,$10.00,$0.00,$100.00,"$1,073.00",$0.00,$0.00,
20181,VILLAGE OF ST. CLOUD - FOND DU LAC COUNTY,$48.00,$0.00,$12.00,$0.00,$0.00,$850.00,$0.00,$0.00,
20226,CITY OF FOND DU LAC - FOND DU LAC COUNTY,"$2,182.61",$130.00,"$1,994.45","$2,000.00","$3,350.66","$21,045.19","$5,743.13",$0.00,
20276,CITY OF RIPON - FOND DU LAC COUNTY,$169.95,$0.00,$286.40,$0.00,$522.50,"$6,970.46",$582.98,$0.00,
21002,TOWN OF ALVIN - FOREST COUNTY,$0.00,$0.00,$2.00,$0.00,$0.00,$750.00,$0.00,$0.00,
21004,TOWN OF ARGONNE - FOREST COUNTY,$75.00,$0.00,$7.50,$0.00,$0.00,"$1,225.00",$0.00,$0.00,
21006,TOWN OF ARMSTRONG CREEK - FOREST COUNTY,$0.00,$0.00,$2.00,$270.00,$0.00,$937.10,$0.00,$44.00,"Office Supplies: Pens, Rulers, Tape, etc."
21008,TOWN OF BLACKWELL - FOREST COUNTY,$0.00,$0.00,$4.00,$0.00,$0.00,$700.00,$73.00,$0.00,
21010,TOWN OF CASWELL - FOREST COUNTY,$94.16,$0.00,$0.94,$40.00,$52.50,"$1,202.50",$0.00,$22.60,Mileage to deliver ballots.
21012,TOWN OF CRANDON - FOREST COUNTY,$0.00,$0.00,$9.60,$100.00,$0.00,$594.00,$0.00,$0.00,
21014,TOWN OF FREEDOM - FOREST COUNTY,$0.00,$0.00,$22.37,$60.00,$6.00,$469.42,$0.00,$39.06,Mileage for delivery and pick up of ballots.
21016,TOWN OF HILES - FOREST COUNTY,$209.25,$10.00,$66.00,$250.00,$0.00,$77.50,$56.00,$0.00,
21018,TOWN OF LAONA - FOREST COUNTY,$0.00,$0.00,$140.00,$540.00,$50.00,"$1,000.00",$0.00,$0.00,
21020,TOWN OF LINCOLN - FOREST COUNTY,$135.00,$0.00,$45.00,$210.00,$0.00,"$1,055.00",$0.00,$0.00,
21022,TOWN OF NASHVILLE - FOREST COUNTY,$3.00,$0.00,$60.00,$0.00,$0.00,"$1,151.00",$95.00,$0.00,
21024,TOWN OF POPPLE RIVER - FOREST COUNTY,$0.00,$0.00,$0.00,$270.00,$140.00,$420.00,$0.00,$0.00,
21026,TOWN OF ROSS - FOREST COUNTY,$49.00,$0.00,$2.29,$60.00,$0.00,$450.00,$0.00,$0.00,
21028,TOWN OF WABENO - FOREST COUNTY,$0.00,$0.00,$18.00,$18.00,$0.00,$690.75,$0.00,$0.00,
21211,CITY OF CRANDON - FOREST COUNTY,$37.00,$0.00,$150.00,$540.00,$0.00,"$1,120.00",$0.00,$0.00,
22002,TOWN OF BEETOWN - GRANT COUNTY,$0.00,$0.00,$10.00,$270.00,$36.00,$592.00,$0.00,$130.00,"Heating Hall, Electric, Labor Set up Booths & tear down"
22004,TOWN OF BLOOMINGTON - GRANT COUNTY,$0.00,$0.00,$5.04,$270.00,$10.00,$390.00,$0.00,$25.00,Poll workers meals
22006,TOWN OF BOSCOBEL - GRANT COUNTY,$0.00,$0.00,$19.00,$34.00,$25.00,$637.00,$0.00,$425.00,"SVRS fee, election day manuals"
22008,TOWN OF CASSVILLE - GRANT COUNTY,$0.00,$0.00,$10.00,$0.00,$30.00,$470.00,$0.00,$0.00,
22010,TOWN OF CASTLE ROCK - GRANT COUNTY,$0.00,$0.00,$0.00,$100.00,$0.00,$600.00,$0.00,$0.00,
22012,TOWN OF CLIFTON - GRANT COUNTY,$43.00,$0.00,$1.00,$0.00,$0.00,$450.00,$0.00,$35.00,"Mileage to pick up voting materials from County Clerk, deliver ballots to County Clerk on election night"
22014,TOWN OF ELLENBORO - GRANT COUNTY,$0.00,$0.00,$10.88,$0.00,$0.00,$642.25,$0.00,$0.00,
22016,TOWN OF FENNIMORE - GRANT COUNTY,$55.00,$0.00,$2.35,$0.00,$0.00,$349.00,$0.00,$0.00,
22018,TOWN OF GLEN HAVEN - GRANT COUNTY,$0.00,$0.00,$3.00,$35.00,$648.00,$0.00,$0.00,$0.00,
22020,TOWN OF HARRISON - GRANT COUNTY,$0.00,$0.00,$22.00,$0.00,$0.00,$345.00,$0.00,$0.00,
22022,TOWN OF HAZEL GREEN - GRANT COUNTY,$0.00,$0.00,$52.00,$0.00,$75.00,"$1,150.00",$0.00,$0.00,
22024,TOWN OF HICKORY GROVE - GRANT COUNTY,$0.00,$0.00,$4.70,$270.00,$150.00,$595.00,$0.00,$0.00,
22026,TOWN OF JAMESTOWN - GRANT COUNTY,$0.00,$0.00,$112.00,$0.00,$0.00,"$1,670.00",$0.00,$0.00,
22028,TOWN OF LIBERTY - GRANT COUNTY,$0.00,$0.00,$10.00,$100.00,$100.00,$468.00,$0.00,$0.00,
22030,TOWN OF LIMA - GRANT COUNTY,$0.00,$0.00,$5.52,$40.00,$36.00,$720.00,$0.00,$0.00,
22032,TOWN OF LITTLE GRANT - GRANT COUNTY,$58.50,$0.00,$10.81,$195.00,$0.00,$450.00,$0.00,$30.00,Training Webinar
22034,TOWN OF MARION - GRANT COUNTY,$0.00,$0.00,$10.16,$0.00,$35.00,$718.00,$95.00,$670.00,County Support and Command Central
22036,TOWN OF MILLVILLE - GRANT COUNTY,$0.00,$0.00,$0.00,$370.00,$0.00,$994.50,$0.00,$92.34,Mileage to County Clerk and School
22038,TOWN OF MOUNT HOPE - GRANT COUNTY,$0.00,$0.00,$10.08,$270.00,$0.00,$360.00,$0.00,$0.00,
22040,TOWN OF MOUNT IDA - GRANT COUNTY,$0.00,$0.00,$12.80,$0.00,$0.00,$393.00,$0.00,$0.00,
22042,TOWN OF MUSCODA - GRANT COUNTY,$0.00,$0.00,$20.00,$400.00,$0.00,$550.00,$0.00,$0.00,
22044,TOWN OF NORTH LANCASTER - GRANT COUNTY,$39.00,$0.00,$7.50,$170.00,$30.00,$500.00,$0.00,$0.00,
22046,TOWN OF PARIS - GRANT COUNTY,$0.00,$0.00,$41.16,$0.00,$0.00,$600.00,$0.00,$9.59,Heating and Lighting
22048,TOWN OF PATCH GROVE - GRANT COUNTY,$0.00,$0.00,$2.31,$270.00,$0.00,$695.00,$0.00,$300.00,Provider County
22050,TOWN OF PLATTEVILLE - GRANT COUNTY,$28.75,$0.00,$18.40,$0.00,$0.00,$940.00,$0.00,$0.00,
22052,TOWN OF POTOSI - GRANT COUNTY,$0.00,$0.00,$8.00,$0.00,$20.00,$557.75,$0.00,$0.00,
22054,TOWN OF SMELSER - GRANT COUNTY,$0.00,$0.00,$34.78,$0.00,$0.00,$525.61,$0.00,$0.00,
22056,TOWN OF SOUTH LANCASTER - GRANT COUNTY,$24.00,$0.00,$8.33,$270.00,$53.20,$538.00,$0.00,$400.00,Relier Service
22058,TOWN OF WATERLOO - GRANT COUNTY,$0.00,$0.00,$4.08,$360.00,$0.00,$725.00,$0.00,$0.00,
22060,TOWN OF WATTERSTOWN - GRANT COUNTY,$0.00,$0.00,$2.88,$270.00,$0.00,$518.50,$0.00,$0.00,
22062,TOWN OF WINGVILLE - GRANT COUNTY,$0.00,$0.00,$15.00,$30.00,$100.00,$462.00,$100.00,$0.00,
22064,TOWN OF WOODMAN - GRANT COUNTY,$0.00,$0.00,$2.76,$300.00,$50.00,$400.00,$0.00,$0.00,
22066,TOWN OF WYALUSING - GRANT COUNTY,$1.00,$0.00,$9.80,$0.00,$10.00,$765.00,$0.00,$0.00,
22106,VILLAGE OF BAGLEY - GRANT COUNTY,$10.00,$0.00,$15.00,$400.00,$0.00,$600.00,$0.00,$0.00,
22107,VILLAGE OF BLOOMINGTON - GRANT COUNTY,$25.00,$0.00,$73.34,$247.50,$20.00,"$1,365.81",$0.00,$69.85,Food
22108,VILLAGE OF BLUE RIVER - GRANT COUNTY,$0.00,$0.00,$2.45,$270.00,$0.00,$441.00,$0.00,$153.62,Stencil for handicap parking
22111,VILLAGE OF CASSVILLE - GRANT COUNTY,$0.00,$0.00,$20.00,$50.00,$150.00,$750.00,$300.00,$0.00,
22116,VILLAGE OF DICKEYVILLE - GRANT COUNTY,$30.50,$0.00,$10.03,$0.00,$0.00,"$1,590.00",$50.00,$0.00,
22136,VILLAGE OF HAZEL GREEN - MULTIPLE COUNTIES,$199.25,$0.00,$42.00,$570.00,$332.37,"$5,408.91",$0.00,$0.00,
22147,VILLAGE OF LIVINGSTON - MULTIPLE COUNTIES,$100.00,$100.00,$50.00,$300.00,$100.00,$700.00,$100.00,$0.00,
22151,VILLAGE OF MONTFORT - MULTIPLE COUNTIES,$41.75,$21.00,$116.50,$80.00,$145.00,$717.25,$0.00,$525.00,Iowa County SVRS 125.00 Grant County SVRS 400.00
22152,VILLAGE OF MOUNT HOPE - GRANT COUNTY,$0.00,$0.00,$0.00,$0.00,$0.00,$375.00,$0.00,$0.00,
22153,VILLAGE OF MUSCODA - MULTIPLE COUNTIES,$125.00,$0.00,$51.18,$98.00,$200.00,$751.00,"$2,000.00",$20.00,"#7--wages for Clerk and Deputy Clerk during election cycle; trainings, entering into WISVOTE, EDR's, everything a Clerk would do for elections. #8--soft beverages for election workers. "
22171,VILLAGE OF PATCH GROVE - GRANT COUNTY,$0.00,$0.00,$13.03,$0.00,$0.00,$303.75,$0.00,$0.00,
22172,VILLAGE OF POTOSI - GRANT COUNTY,$0.00,$12.00,$15.00,$815.00,$0.00,$375.00,$0.00,$195.00,Clerk OT Wages
22186,VILLAGE OF TENNYSON - GRANT COUNTY,$38.70,$0.00,$7.52,$286.50,$0.00,$972.79,$0.00,$75.73,purchased new & updated legal posters for village hall
22191,VILLAGE OF WOODMAN - GRANT COUNTY,$0.00,$0.00,$0.00,$75.00,$0.00,$431.12,$155.02,$0.00,
22206,CITY OF BOSCOBEL - GRANT COUNTY,$233.32,$570.00,$33.14,$127.32,$100.00,"$1,049.70",$0.00,$149.51,49.68 mileage reimbursement 99.83 election worker meals
22211,CITY OF CUBA CITY - MULTIPLE COUNTIES,$23.85,$0.00,$75.00,$570.00,$278.96,$941.28,"$8,430.33",$0.00,
22226,CITY OF FENNIMORE - GRANT COUNTY,$0.00,$10.00,$50.00,$33.00,$121.00,"$1,282.00","$1,180.00",$0.00,
22246,CITY OF LANCASTER - GRANT COUNTY,$0.00,$0.00,$75.00,$0.00,$100.00,"$1,000.00",$100.00,$0.00,
22271,CITY OF PLATTEVILLE - GRANT COUNTY,$32.00,$500.00,$630.00,"$1,660.00","$1,618.00","$6,883.00","$2,000.00",$375.00,Advertising for registering to vote before election day
23002,TOWN OF ADAMS - GREEN COUNTY,$0.00,$0.00,$0.00,$0.00,$75.00,$560.00,$0.00,$0.00,
23004,TOWN OF ALBANY - GREEN COUNTY,$27.00,$0.00,$6.00,$0.00,$13.00,$566.00,$0.00,$0.00,
23006,TOWN OF BROOKLYN - GREEN COUNTY,$80.00,$0.00,$19.00,$500.00,$35.00,$510.00,$101.00,$0.00,
23008,TOWN OF CADIZ - GREEN COUNTY,$10.00,$0.00,$44.00,"$2,000.00",$0.00,$301.00,$0.00,$0.00,
23010,TOWN OF CLARNO - GREEN COUNTY,$8.00,$0.00,$52.00,"$2,000.00",$36.00,$628.00,$0.00,$0.00,
23012,TOWN OF DECATUR - GREEN COUNTY,$60.00,$0.00,$53.00,"$2,000.00",$25.00,$647.00,$30.00,$17.00,
23014,TOWN OF EXETER - GREEN COUNTY,$50.00,$5.00,$223.00,$25.00,$25.00,"$2,700.00","$1,400.00",$200.00,printer  scanner
23016,TOWN OF JEFFERSON - GREEN COUNTY,$10.00,$0.00,$40.00,$100.00,$0.00,$500.00,$0.00,$0.00,
23018,TOWN OF JORDAN - GREEN COUNTY,$21.00,$0.00,$65.00,$0.00,$10.00,$392.00,$0.00,$0.00,
23020,TOWN OF MONROE - GREEN COUNTY,$10.00,$0.00,$80.00,$500.00,$0.00,$860.00,$0.00,$0.00,
23022,TOWN OF MOUNT PLEASANT - GREEN COUNTY,$35.00,$0.00,$12.00,"$2,000.00",$200.00,$912.00,$0.00,$0.00,
23024,TOWN OF NEW GLARUS - GREEN COUNTY,$100.00,$0.00,$196.00,$0.00,$0.00,$200.00,"$1,500.00",$0.00,
23026,TOWN OF SPRING GROVE - GREEN COUNTY,$50.00,$0.00,$25.00,"$2,000.00",$250.00,$337.00,$0.00,$0.00,
23028,TOWN OF SYLVESTER - GREEN COUNTY,$83.00,$49.00,$24.00,$21.00,$0.00,$391.00,$102.00,$6.00,supplies
23030,TOWN OF WASHINGTON - GREEN COUNTY,$15.00,$0.00,$45.00,"$2,000.00",$0.00,$282.00,$0.00,$0.00,
23032,TOWN OF YORK - GREEN COUNTY,$490.00,$0.00,$0.00,$0.00,$0.00,"$1,008.00",$0.00,$90.00,mileage postage supplies
23101,VILLAGE OF ALBANY - GREEN COUNTY,$20.00,$0.00,$20.00,$10.00,$50.00,$490.00,$20.00,$0.00,
23110,VILLAGE OF BROWNTOWN - GREEN COUNTY,$6.00,$0.00,$3.00,$20.00,$0.00,$433.00,$0.00,$37.00,meals
23151,VILLAGE OF MONTICELLO - GREEN COUNTY,$65.00,$0.00,$15.00,"$2,000.00",$9.00,$495.00,$0.00,$0.00,
23161,VILLAGE OF NEW GLARUS - GREEN COUNTY,$38.00,$0.00,$106.00,$68.00,$131.00,$991.00,$189.00,$0.00,
23206,CITY OF BRODHEAD - MULTIPLE COUNTIES,$0.00,$0.00,$35.00,$0.00,$0.00,"$1,718.00",$0.00,$0.00,
23251,CITY OF MONROE - GREEN COUNTY,$51.71,$2.75,$465.48,$0.00,$540.86,"$4,583.00","$1,665.66",$88.00,"other misc. postage, directional signs"
24002,TOWN OF BERLIN - GREEN LAKE COUNTY,$129.50,$386.70,$26.45,$125.02,$0.00,$645.00,$250.00,$8.00,New voter registration & address changes entered by the county.
24004,TOWN OF BROOKLYN - GREEN LAKE COUNTY,$152.85,$0.00,$175.95,$576.85,"$1,392.22","$4,421.15",$0.00,$662.17,Training $154.70 Supplies $507.47
24006,TOWN OF GREEN LAKE - GREEN LAKE COUNTY,$33.00,$500.00,$112.00,$0.00,$15.00,$760.00,$0.00,$0.00,
24008,TOWN OF KINGSTON - GREEN LAKE COUNTY,$0.00,$50.26,$0.00,$570.00,$420.00,$0.00,$87.50,$0.00,
24010,TOWN OF MACKFORD - GREEN LAKE COUNTY,$50.00,$0.00,$2.00,$270.00,$0.00,$640.00,$0.00,$0.00,
24012,TOWN OF MANCHESTER - GREEN LAKE COUNTY,$393.11,$14.40,$42.30,$270.00,$0.00,"$1,317.50",$0.00,$0.00,
24014,TOWN OF MARQUETTE - GREEN LAKE COUNTY,$77.24,$47.24,$48.20,$270.00,$35.00,$448.50,$0.00,$0.00,
24016,TOWN OF PRINCETON - GREEN LAKE COUNTY,$118.95,$543.02,$57.50,$570.00,$142.50,$684.73,$0.00,$178.00,New Voter Registration $162.00 Address Change $16.00
24018,TOWN OF ST. MARIE - GREEN LAKE COUNTY,$165.00,$20.00,$50.00,$75.00,$200.00,$669.00,$0.00,$0.00,
24020,TOWN OF SENECA - GREEN LAKE COUNTY,$129.50,$5.00,$8.67,$0.00,$0.00,$436.50,$0.00,$60.60,$53.43 Green Lake Trips $7.47 Town Postings
24141,VILLAGE OF KINGSTON - GREEN LAKE COUNTY,$100.00,$5.00,$12.00,$5.00,$1.00,$350.00,$0.00,$0.00,
24154,VILLAGE OF MARQUETTE - GREEN LAKE COUNTY,$50.26,$0.00,$3.76,$0.00,$0.00,$435.00,$0.00,$0.00,
