"","ObjectID","full_addr","County"
"1058984",1058984,"8855 N PT WASH RD APT 213, BAYSIDE WI 99999","Milwaukee County"
"1059103",1059103,"8855 N PT WASH RD APT 313, BAYSIDE WI 99999","Milwaukee County"
"1059191",1059191,"8855 N PT WASH RD APT 103, BAYSIDE WI 99999","Milwaukee County"
"1059351",1059351,"8855 N PT WASH RD APT 116, BAYSIDE WI 99999","Milwaukee County"
"1061113",1061113,"8855 N PT WASH RD APT 308, BAYSIDE WI 99999","Milwaukee County"
"1061453",1061453,"8855 N PT WASH RD APT 303, BAYSIDE WI 99999","Milwaukee County"
"1061807",1061807,"N2665 COUNTY ROAD QQ UNIT SH279A, KING WI 54946-0600","Waupaca County"
"1063163",1063163,"N2665 COUNTY ROAD QQ UNIT MH315, KING WI 54946-0600","Waupaca County"
"1064076",1064076,"9007 W BELOIT RD, WEST ALLIS WI 99999","Milwaukee County"
"1064330",1064330,"429 S 91ST ST, WEST ALLIS WI 99999","Milwaukee County"
"1067207",1067207,"N4987 COUNTY ROAD WS, WOODLAND WI 53099-8701","Dodge County"
"1067440",1067440,"2038 E CORA AVE UPPR, SAINT FRANCIS WI 99999","Milwaukee County"
"1068726",1068726,"W282N7388 MAIN ST, MERTON WI 53056","Waukesha County"
"1069632",1069632,"N67W26335 CREST DR, LISBON WI 54444","Waukesha County"
"1071077",1071077,"W282N7014 MAIN ST, MERTON WI 53056","Waukesha County"
"1072891",1072891,"440 SKARE RD APT 1, WYOCENA WI 53969","Columbia County"
"1073388",1073388,"6450 W ENGLISH MDO DR APT 307, GREENFIELD WI 54444","Milwaukee County"
"1073603",1073603,"S42W31065 WOODFERN RD, GENESEE DEPOT WI 53127","Waukesha County"
"1082302",1082302,"5149 ISLAND RD, BUTTE DES MORTS WI 54927-9312","Winnebago County"
"1082385",1082385,"N2665 COUNTY ROAD QQ UNIT MH316A, KING WI 54946-0600","Waupaca County"
"1083477",1083477,"11130 W MORGAN AVE DUPLICATE APT 202, WEST ALLIS WI 54444","Milwaukee County"
"1088766",1088766,"N2665 COUNTY ROAD QQ UNIT MH212, KING WI 54946-0600","Waupaca County"
"1091736",1091736,"4228 KADLEC DR APT B-5, SHEBOYGAN WI 54444","Sheboygan County"
"1094229",1094229,"300 E MAIN ST LOT 29, SAINT NAZIANZ WI 54232","Manitowoc County"
"1094649",1094649,"N2665 COUNTY ROAD QQ UNIT AH238, KING WI 54946-0600","Waupaca County"
"1095576",1095576,"N1714 WEST ST, LEBANON WI 53047","Dodge County"
"1096986",1096986,"N2665 COUNTY ROAD QQ UNIT AH442, KING WI 54946-0600","Waupaca County"
"1097882",1097882,"260 PHEASANT LN, NEWBURG WI 53060","Washington County"
"1100533",1100533,"973 SPRING CT, NEWBURG WI 53060","Washington County"
"1102505",1102505,"W2475 ELM ST, ASHIPPUN WI 53003","Dodge County"
"1103679",1103679,"4560 S WHITNALL AVE UPPR, SAINT FRANCIS WI 99999","Milwaukee County"
"1104262",1104262,"934 SPRING CT APT 2, NEWBURG WI 53060","Washington County"
"1104744",1104744,"936 SPRING CT, NEWBURG WI 53060","Washington County"
"1105449",1105449,"988 SPRING CT, NEWBURG WI 53060","Washington County"
"1107084",1107084,"6891 ENGE DR, NEWBURG WI 53060","Washington County"
"1107611",1107611,"2071 GLACIER DR APT 1115, ST CROIX FALLS WI 99999","Polk County"
"1107876",1107876,"963 SPRING CT, NEWBURG WI 53060","Washington County"
"1108248",1108248,"6942 SHADY LANE, NEWBURG WI 53060","Washington County"
"1108544",1108544,"605 HWY 33 E, NEWBURG WI 53060","Washington County"
"1114299",1114299,"1111 MOSSY OAK CIR APT 5, GREEN BAY WI","Brown County"
"1114333",1114333,"N2665 COUNTY ROAD QQ UNIT MH216, KING WI 54946-0600","Waupaca County"
"1122991",1122991,"4545 N 92ND ST 2726, WAUWATOSA WI 99999","Milwaukee County"
"1123468",1123468,"N2665 COUNTY ROAD QQ SPC SH216, KING WI 54946-0600","Waupaca County"
"1123599",1123599,"N2665 COUNTY ROAD QQ UNIT OH372, KING WI 54946","Waupaca County"
"1123683",1123683,"N2665 COUNTY ROAD QQ UNIT MH360A, KING WI 54946-0600","Waupaca County"
"1126493",1126493,"800 BROOKWOOD DR W, ONEIDA WI 54444","Brown County"
"1126848",1126848,"N24W24258 SADDLE BROOK DR APT 311, PEWAUKEE WI 54444","Waukesha County"
"1127165",1127165,"N5711 RAILWAY AVE, GREEN VALLEY WI 54127-9407","Shawano County"
"1129431",1129431,"13335 WATRTWNPLNK RD APT 104, ELM GROVE WI 99999","Waukesha County"
"1132813",1132813,"365 N JACKSON ST, WYOCENA WI 53969","Columbia County"
"1133825",1133825,"W5552 COUNTY ROAD F, NICHOLS WI 54152","Outagamie County"
"1135340",1135340,"9002 W HIGHLAND PARK AVE 221, FRANKLIN WI 54444","Milwaukee County"
"1143010",1143010,"W5626 COUNTY HWY F, NICHOLS WI 54152","Outagamie County"
"1148814",1148814,"N16W26401 MEADOWGRASS CIR UNIT E, PEWAUKEE WI 54444","Waukesha County"
"1149913",1149913,"W7770 COUNTY ROAD CS, POYNETTE WI 99999","Columbia County"
"1154959",1154959,"N2665 COUNTY ROAD QQ UNIT OH485, KING WI 54946-0600","Waupaca County"
"1158295",1158295,"N2665 COUNTY ROAD QQ UNIT OH231, KING WI 54946","Waupaca County"
"1159291",1159291,"228 ENTERPRISE ST APT 9, STOCKBRIDGE WI 53088-2000","Calumet County"
"1160262",1160262,"6525 W ENGLISH MEADOWS DR APT D303, GREENFIELD WI 54444","Milwaukee County"
"1161617",1161617,"955 SPRING CT, NEWBURG WI 53060","Washington County"
"1162950",1162950,"497 TOWER RD APT B, WYOCENA WI 53969","Columbia County"
"1165860",1165860,"4800 N PORT WASHINGTON RD - SPLIT WITH GLENDALE APT 99999, MILWAUKEE WI 99999","Milwaukee County"
"1166324",1166324,"N2665 COUNTY ROAD QQ UNIT OH342, KING WI 54946-0600","Waupaca County"
"1166814",1166814,"213 PHEASANT LN, NEWBURG WI 53060","Washington County"
"1167222",1167222,"N1170 COUNTY ROAD H LOT 50, CAMP DOUGLAS WI 53618","Juneau County"
"1167569",1167569,"202 W MAIN ST, HUSTLER WI 54637-1305","Juneau County"
"1172393",1172393,"226 WOOD ST, PATCH GROVE WI 53817","Grant County"
"1174067",1174067,"1004 SOUTH MOUNTAIN RD DUP, WAUSAU WI 99999","Marathon County"
"1174258",1174258,"3006 BOBOLINK AVE, WAUSAU WI 99999","Marathon County"
"1177837",1177837,"9370 MCDIVETT RD, WITTENBERG WI 54444","Marathon County"
"1178161",1178161,"N2665 COUNTY ROAD QQ UNIT SH110A, KING WI 54946","Waupaca County"
"1178744",1178744,"0 MCINTOSH ST, WAUSAU WI 54444","Marathon County"
"1179508",1179508,"1704 FOREST VALLEY RD R, WAUSAU WI 54444","Marathon County"
"1180889",1180889,"2450 RAINBOW DR, KRONENWETTER WI 99999","Marathon County"
"1181980",1181980,"6540 W ENGLISH MEADOWS DR APT J201, GREENFIELD WI 54444","Milwaukee County"
"1182041",1182041,"910 KRONENWETTER DR, MOSINEE WI 99999","Marathon County"
"1182706",1182706,"6540 W ENGLISH MEADOWS DR APT J102, GREENFIELD WI 54444","Milwaukee County"
"1183718",1183718,"108 S 6TH ST, SAINT NAZIANZ WI 54232","Manitowoc County"
"1184368",1184368,"6705 W ENGLISH MEADOWS DR APT B201, GREENFIELD WI 54444","Milwaukee County"
"1185603",1185603,"6540 W ENGLISH MEADOWS DR APT J301, GREENFIELD WI 54444","Milwaukee County"
"1185623",1185623,"6535 W ENGLISH MEADOWS DR APT D-208, GREENFIELD WI 54444","Milwaukee County"
"1185843",1185843,"N2665 COUNTY ROAD QQ UNIT MH357B, KING WI 54946-0600","Waupaca County"
"1186086",1186086,"6715 W ENGLISH MEADOWS DR APT B305, GREENFIELD WI 54444","Milwaukee County"
"1186491",1186491,"N2665 COUNTY ROAD QQ UNIT MH260A, KING WI 54946-0600","Waupaca County"
"1187178",1187178,"N2665 COUNTY ROAD QQ UNIT MH236, KING WI 54946-0600","Waupaca County"
"1187315",1187315,"W1993 COUNTY RD S, FREEDOM WI 99999","Outagamie County"
"1187390",1187390,"6720 W ENGLISH MEADOWS DR APT K305, GREENFIELD WI 54444","Milwaukee County"
"1187656",1187656,"N2665 COUNTY ROAD QQ MH277, KING WI 54946-0600","Waupaca County"
"1187660",1187660,"N2665 COUNTY ROAD QQ UNIT MH262, KING WI 54946-0600","Waupaca County"
"1188323",1188323,"N3687 COUNTY E RD, FREEDOM WI 54444","Outagamie County"
"1188405",1188405,"N2665 COUNTY ROAD QQ UNIT OH406, KING WI 54946-0600","Waupaca County"
"1189137",1189137,"W1981 COUNTY S RD APT 4, FREEDOM WI 99999","Outagamie County"
"1190317",1190317,"10165 W COLDSPRING RD APT 208, GREENFIELD WI 54444-____","Milwaukee County"
"1191122",1191122,"6750 W ENGLISH MEADOWS DR APT L103, GREENFIELD WI 54444","Milwaukee County"
"1191163",1191163,"967 SPRING CT, NEWBURG WI 53060","Washington County"
"1191706",1191706,"W2377 US HIGHWAY 10 LOT 47, FOREST JUNCTION WI 54123-9703","Calumet County"
"1192183",1192183,"W2377 US HIGHWAY 10 LOT 10, FOREST JUNCTION WI 54123","Calumet County"
"1192384",1192384,"6525 W ENGLISH MEADOWS DR APT D302, GREENFIELD WI 54444","Milwaukee County"
"1192422",1192422,"6520 W ENGLISH MEADOWS DR APT I204, GREENFIELD WI 54444","Milwaukee County"
"1192469",1192469,"6725 W ENGLISH MEADOWS DR APT A301, GREENFIELD WI 54444","Milwaukee County"
"1193746",1193746,"6750 W ENGLISH MEADOWS DR APT L307, GREENFIELD WI 54444","Milwaukee County"
"1195239",1195239,"6520 W ENGLISH MEADOWS DR APT 102, GREENFIELD WI 54444","Milwaukee County"
"1195540",1195540,"6750 W ENGLISH MEADOWS DR APT L305, GREENFIELD WI 54444","Milwaukee County"
"1195749",1195749,"6720 W ENGLISH MEADOWS DR APT K307, GREENFIELD WI 54444","Milwaukee County"
"1196023",1196023,"6535 W ENGLISH MEADOWS DR APT D205, GREENFIELD WI 54444","Milwaukee County"
"1198624",1198624,"6725 W ENGLISH MEADOWS DR APT A204, GREENFIELD WI 54444","Milwaukee County"
"1199302",1199302,"6540 W ENGLISH MEADOWS DR APT J303, GREENFIELD WI 54444","Milwaukee County"
"1199601",1199601,"6730 W ENGLISH MEADOWS DR APT K-204, GREENFIELD WI 54444","Milwaukee County"
"1199923",1199923,"6520 W ENGLISH MEADOWS DR APT 204, GREENFIELD WI 54444","Milwaukee County"
"1202585",1202585,"W2233 KELLER RD, FOREST JUNCTION WI 54123","Calumet County"
"1202780",1202780,"N2665 COUNTY ROAD QQ UNIT AH236, KING WI 54946-0600","Waupaca County"
"1204169",1204169,"431 S MILITARY, STOCKBRIDGE WI 53088","Calumet County"
"1204536",1204536,"6715 W ENGLISH MEADOWS DR APT B104, GREENFIELD WI 54444","Milwaukee County"
"1204971",1204971,"9339 W HOWARD AVE - Duplicate APT 126, GREENFIELD WI 99999","Milwaukee County"
"1205445",1205445,"6540 W ENGLISH MEADOWS DR APT J304, GREENFIELD WI 54444","Milwaukee County"
"1206662",1206662,"403 BUENA PARK RD, WATERFORD WI 531085","Racine County"
"1207270",1207270,"6510 W ENGLISH MEADOWS DR APT 103, GREENFIELD WI 54444","Milwaukee County"
"1207951",1207951,"6715 W ENGLISH MEADOWS DR APT B-208, GREENFIELD WI 54444","Milwaukee County"
"1210733",1210733,"6705 W ENGLISH MEADOWS DR APT B304, GREENFIELD WI 54444","Milwaukee County"
"1211638",1211638,"6705 W ENGLISH MEADOWS DR APT B204, GREENFIELD WI 54444","Milwaukee County"
"1212918",1212918,"4225 DEERFOOT RD, STAR LAKE WI 54561","Vilas County"
"1213021",1213021,"6510 W ENGLISH MEADOWS DR APT I307, GREENFIELD WI 54444","Milwaukee County"
"1214244",1214244,"3560 S 34TH ST UPPR, GREENFIELD WI 99999","Milwaukee County"
"1214558",1214558,"W5931 LIBERTY ST, PACKWAUKEE WI 53953","Marquette County"
"1215363",1215363,"116 CLOVER LA, FOOTVILLE WI 53537","Rock County"
"1216852",1216852,"6750 W ENGLISH MDO DR APT L207, GREENFIELD WI 54444","Milwaukee County"
"1217016",1217016,"N2665 COUNTY ROAD QQ SH376A, KING WI 54946-0600","Waupaca County"
"1219463",1219463,"N2665 COUNTY ROAD QQ UNIT MH331, KING WI 54946","Waupaca County"
"1219481",1219481,"6750 W ENGLISH MEADOWS DR I207, GREENFIELD WI 54444","Milwaukee County"
"1219557",1219557,"6525 W ENGLISH MEADOWS DR APT D101, GREENFIELD WI 54444","Milwaukee County"
"1221428",1221428,"3827 S PENNSYLVANIA AVE APT A, SAINT FRANCIS WI 54444-____","Milwaukee County"
"1222054",1222054,"36730 S ARCTIC AVE, SAINT FRANCIS WI 54444","Milwaukee County"
"1222154",1222154,"N2665 COUNTY ROAD QQ AH157, KING WI 54946-0600","Waupaca County"
"1222274",1222274,"4563 S WHITNALL AVE 202, SAINT FRANICIS WI 54444","Milwaukee County"
"1224328",1224328,"N2665 COUNTY ROAD QQ UNIT SH350, KING WI 54946-0600","Waupaca County"
"1225293",1225293,"192 S MAIN ST, MOUNT STERLING WI 54645","Crawford County"
"1225880",1225880,"107 S MAIN ST UPPR, JANESVILLE WI 99999","Rock County"
"1226171",1226171,"2830 E LAYTON AVE LOWR, SAINT FRANCIS WI 99999","Milwaukee County"
"1226815",1226815,"5416 S COUNTY ROAD D, AFTON WI 53501","Rock County"
"1227187",1227187,"4520 S PENNSYLVANIA AVE, SAINT FRANCIS WI 54444-____","Milwaukee County"
"1227214",1227214,"3615 W THIRD ST, AFTON WI 99999","Rock County"
"1227364",1227364,"4244 S PENNSYLVANIA AVE, SAINT FRANCIS WI 54444-____","Milwaukee County"
"1227987",1227987,"1903 ICE AGE WAY, JANESVILLE WI","Rock County"
"1228056",1228056,"135 MAIN ST, SENECA WI 54654","Crawford County"
"1229772",1229772,"W4858 LAKE ST, PACKWAUKEE WI 53953","Marquette County"
"1230022",1230022,"111 COMMERCIAL APT 331, FOOTVILLE WI 53537","Rock County"
"1230380",1230380,"32874 THIRD ST, GOTHAM WI 53540","Richland County"
"1230475",1230475,"450 SKARE RD, WYOCENA WI 53969","Columbia County"
"1231388",1231388,"135A GRAND CANYON DR APT 105, LAKE DELTON WI 53940","Sauk County"
"1232768",1232768,"1813 E NORWICH AVE A, SAINT FRANCIS WI 54444","Milwaukee County"
"1233228",1233228,"N2665 COUNTY ROAD QQ UNIT OH382, KING WI 54946-0600","Waupaca County"
"1233759",1233759,"3306 4 MILE RD, CALEDONIA WI 99999","Racine County"
"1233793",1233793,"5208 S COUNTY ROAD D, AFTON WI 53501","Rock County"
"1235551",1235551,"5402 S COUNTY ROAD D, AFTON WI 53501","Rock County"
"1235699",1235699,"102 1ST ST, FRIESLAND WI 53935-9709","Columbia County"
"1235746",1235746,"W2601 OAK ST, ASHIPPUN WI 53003","Dodge County"
"1235774",1235774,"W2521 OAK ST, ASHIPPUN WI 53003","Dodge County"
"1235779",1235779,"N481 STATE ROAD 67, ASHIPPUN WI 53003","Dodge County"
"1235830",1235830,"W2607 ELM ST, ASHIPPUN WI 53003","Dodge County"
"1235855",1235855,"W2496 LINCOLN RD, ASHIPPUN WI 53003","Dodge County"
"1235867",1235867,"W2437 LINCOLN RD, ASHIPPUN WI 53003","Dodge County"
"1235876",1235876,"N545 MAIN ST, ASHIPPUN WI 53003","Dodge County"
"1235949",1235949,"N511 ASH ST, ASHIPPUN WI 53003","Dodge County"
"1235978",1235978,"N541 MAIN ST, ASHIPPUN WI 53003","Dodge County"
"1235984",1235984,"N568 MAIN ST, ASHIPPUN WI 53003","Dodge County"
"1235997",1235997,"W2001 STATE ROAD 28 & 67, MAYVILLE WI 53050","Dodge County"
"1236030",1236030,"W2612 ELM ST, ASHIPPUN WI 53003","Dodge County"
"1236032",1236032,"W2434 ELM ST, ASHIPPUN WI 53003","Dodge County"
"1236047",1236047,"N470 STATE ROAD 67, ASHIPPUN WI 53003","Dodge County"
"1236100",1236100,"W2465 ELM ST, ASHIPPUN WI 53003","Dodge County"
"1236131",1236131,"W2466 ELM ST, ASHIPPUN WI 53003","Dodge County"
"1236153",1236153,"W2426 ELM ST, ASHIPPUN WI 53003","Dodge County"
"1236164",1236164,"102 2ND ST, FRIESLAND WI 53935-9724","Columbia County"
"1236202",1236202,"N529 MAIN ST, ASHIPPUN WI 53003","Dodge County"
"1236203",1236203,"W2448 LINCOLN RD, ASHIPPUN WI 53003","Dodge County"
"1236212",1236212,"N514 ASH ST, ASHIPPUN WI 53003","Dodge County"
"1236225",1236225,"W2428 COUNTY ROAD O, ASHIPPUN WI 53003","Dodge County"
"1236254",1236254,"W2464 LINCOLN RD, ASHIPPUN WI 53003","Dodge County"
"1236265",1236265,"W2603 ELM ST, ASHIPPUN WI 53003","Dodge County"
"1236281",1236281,"W2471 OAK ST, ASHIPPUN WI 53003","Dodge County"
"1236285",1236285,"N474 STATE ROAD 67, ASHIPPUN WI 53003","Dodge County"
"1236316",1236316,"W2441 OAK ST, ASHIPPUN WI 53003","Dodge County"
"1236396",1236396,"W2615 OAK ST, ASHIPPUN WI 53003","Dodge County"
"1236439",1236439,"N549 MAIN ST, ASHIPPUN WI 53003","Dodge County"
"1236489",1236489,"W2456 LINCOLN RD, ASHIPPUN WI 53003","Dodge County"
"1236492",1236492,"W2606 ELM ST, ASHIPPUN WI 53003","Dodge County"
"1236501",1236501,"W2441 ELM ST, ASHIPPUN WI 53003","Dodge County"
"1236525",1236525,"W2611 OAK ST, ASHIPPUN WI 53003","Dodge County"
"1236568",1236568,"N551 ASH ST, ASHIPPUN WI 53003","Dodge County"
"1236613",1236613,"W2394 LINCOLN RD, ASHIPPUN WI 53003","Dodge County"
"1236618",1236618,"W2451 OAK ST, ASHIPPUN WI 53003","Dodge County"
"1236648",1236648,"W2488 LINCOLN RD, ASHIPPUN WI 53003","Dodge County"
"1236718",1236718,"N573 MAIN ST, ASHIPPUN WI 53003","Dodge County"
"1236758",1236758,"W2507 OAK ST, ASHIPPUN WI 53003","Dodge County"
"1236775",1236775,"W2438 LINCOLN RD, ASHIPPUN WI 53003","Dodge County"
"1236869",1236869,"N527 ASH ST, ASHIPPUN WI 53003","Dodge County"
"1236888",1236888,"W2447 ELM ST, ASHIPPUN WI 53003","Dodge County"
"1236979",1236979,"N497 STATE ROAD 67, ASHIPPUN WI 53003","Dodge County"
"1236995",1236995,"N522 MAIN ST, ASHIPPUN WI 53003","Dodge County"
"1237016",1237016,"N537 ASH ST, ASHIPPUN WI 53003","Dodge County"
"1237023",1237023,"W2467 OAK ST, ASHIPPUN WI 53003","Dodge County"
"1237754",1237754,"W4716 SCOTT LN, LEBANON WI 53047","Dodge County"
"1238647",1238647,"N2665 COUNTY ROAD QQ RM AH329, KING WI 54946-0600","Waupaca County"
"1239120",1239120,"N2665 COUNTY ROAD QQ UNIT SH376B, KING WI 54946-0600","Waupaca County"
"1239958",1239958,"W6520 COUNTY ROAD J, CLYMAN WI 53016","Dodge County"
"1241180",1241180,"804 CIRCLEVIEW CIRCLE, CLYMAN WI 53016","Dodge County"
"1241486",1241486,"W6393 COUNTY ROAD J, CLYMAN WI 53016","Dodge County"
"1241775",1241775,"N2665 COUNTY ROAD QQ UNIT OH276B, KING WI 54946-0600","Waupaca County"
"1242011",1242011,"113 2ND ST, FRIESLAND WI 53935-9724","Columbia County"
"1242396",1242396,"N2665 COUNTY ROAD QQ UNIT SH425, KING WI 54946-0600","Waupaca County"
"1242681",1242681,"N1725 CANA RD, LEBANON WI 53047","Dodge County"
"1242997",1242997,"5203 S COUNTY ROAD D, AFTON WI 53501","Rock County"
"1243439",1243439,"N4946 COUNTY ROAD WS, WOODLAND WI 53099","Dodge County"
"1243741",1243741,"N2665 COUNTY ROAD QQ UNIT MH383, KING WI 54946-0600","Waupaca County"
"1243865",1243865,"38 NIMIKON ST, GILE WI 54525-9710","Iron County"
"1244527",1244527,"12366 FITZGERALD LN, BOULDER JUNCTION WI 54444","Vilas County"
"1244731",1244731,"W2500 WOODLAND RD, WOODLAND WI 53099-8703","Dodge County"
"1244946",1244946,"N5027 COUNTY ROAD WS, WOODLAND WI 53099-8702","Dodge County"
"1244951",1244951,"N5019 COUNTY ROAD WS, WOODLAND WI 53099-8702","Dodge County"
"1245020",1245020,"N4973 COUNTY ROAD WS, WOODLAND WI 53099-8701","Dodge County"
"1245052",1245052,"N5077 COUNTY ROAD WS, WOODLAND WI 53099-8702","Dodge County"
"1246378",1246378,"N2665 COUNTY ROAD QQ UNIT MH319, KING WI 54946","Waupaca County"
"1246551",1246551,"N1789 COUNTY ROAD R, LEBANON WI 53047","Dodge County"
"1247058",1247058,"N1725 WEST ST, LEBANON WI 53047","Dodge County"
"1247066",1247066,"W4692 GREENDALE ST, LEBANON WI 53047","Dodge County"
"1247175",1247175,"N1837 COUNTY ROAD R, LEBANON WI 53047","Dodge County"
"1247289",1247289,"N1717 COUNTY ROAD R, LEBANON WI 53047","Dodge County"
"1247310",1247310,"W4704 GREENDALE ST, LEBANON WI 53047","Dodge County"
"1247343",1247343,"N1761 CENTER ST, LEBANON WI 53047","Dodge County"
"1247486",1247486,"W4743 SCOTT LN, LEBANON WI 53047","Dodge County"
"1247493",1247493,"N1778 COUNTY ROAD R, LEBANON WI 53047","Dodge County"
"1247509",1247509,"N1855 COUNTY ROAD R, LEBANON WI 53047","Dodge County"
"1248388",1248388,"W1487 STATE ROAD 28 & 67, THERESA WI 53091","Dodge County"
"1248431",1248431,"W1346 STATE ROAD 28 & 67, THERESA WI 53091","Dodge County"
"1248708",1248708,"W1560 STATE ROAD 28 & 67, THERESA WI 53091-9712","Dodge County"
"1248740",1248740,"W1436 STATE ROAD 28 & 67, THERESA WI 53091","Dodge County"
"1248762",1248762,"W1363 STATE ROAD 28 & 67, THERESA WI 53091","Dodge County"
"1248964",1248964,"W2081 STATE ROAD 28 & 67, MAYVILLE WI 53050","Dodge County"
"1249114",1249114,"W2277 STATE ROAD 28 & 67, MAYVILLE WI 53050","Dodge County"
"1249224",1249224,"W2244 STATE ROAD 28 & 67, MAYVILLE WI 53050-2325","Dodge County"
"1249296",1249296,"W1643 STATE ROAD 28 & 67, THERESA WI 53091","Dodge County"
"1249534",1249534,"7936 LITTLE STAR LN, STAR LAKE WI 54561-9715","Vilas County"
"1249552",1249552,"4282 E LAKE LAURA RD, STAR LAKE WI 54561","Vilas County"
"1249560",1249560,"4166 DEERFOOT RD, STAR LAKE WI 54561","Vilas County"
"1249610",1249610,"4451 E LAKE LAURA RD, STAR LAKE WI 54561","Vilas County"
"1249611",1249611,"7938 COUNTY ROAD K, STAR LAKE WI 54561","Vilas County"
"1249624",1249624,"7955 COUNTY ROAD K, STAR LAKE WI 54561","Vilas County"
"1249634",1249634,"7912 COUNTY ROAD K, STAR LAKE WI 54561","Vilas County"
"1249697",1249697,"8889 COUNTY ROAD K, STAR LAKE WI 54561","Vilas County"
"1249708",1249708,"3920 FRED LUKE RD, STAR LAKE WI 54561-9717","Vilas County"
"1249712",1249712,"3882 FRED LUKE RD, STAR LAKE WI 54561-9703","Vilas County"
"1249725",1249725,"3911 STAR LAKE RD, STAR LAKE WI 54561-9702","Vilas County"
"1249769",1249769,"3932 STAR LAKE RD, STAR LAKE WI 54561-9702","Vilas County"
"1249823",1249823,"4251 RAVINE DR, STAR LAKE WI 54561","Vilas County"
"1249825",1249825,"7914 COUNTY ROAD K, STAR LAKE WI 54561-9716","Vilas County"
"1249905",1249905,"7232 COUNTY ROAD K, STAR LAKE WI 54561-9723","Vilas County"
"1249911",1249911,"7007 WOODLAND DR, STAR LAKE WI 54561-9719","Vilas County"
"1249944",1249944,"8453 WESCHLER RD, STAR LAKE WI 54561","Vilas County"
"1249948",1249948,"4249 RAVINE DR, STAR LAKE WI 54561","Vilas County"
"1249987",1249987,"2910 COLD WATER DR, STAR LAKE WI 54561","Vilas County"
"1249993",1249993,"7958 LITTLE STAR LN, STAR LAKE WI 54561-9715","Vilas County"
"1250003",1250003,"4070 LOIS LN, STAR LAKE WI 54561","Vilas County"
"1250007",1250007,"7924 LITTLE STAR LN, STAR LAKE WI 54561-9715","Vilas County"
"1250033",1250033,"8762 COUNTY ROAD K, STAR LAKE WI 54561","Vilas County"
"1250057",1250057,"4185 E LAURA LAKE RD, STAR LAKE WI 54561-9722","Vilas County"
"1250088",1250088,"4273 RAVINE DR, STAR LAKE WI 54561","Vilas County"
"1250089",1250089,"8190 COUNTY ROAD K, STAR LAKE WI 54561-9727","Vilas County"
"1250144",1250144,"3890 FUR FARM RD, STAR LAKE WI 54561","Vilas County"
"1250204",1250204,"3944 FRED LUKE RD, STAR LAKE WI 54561-9717","Vilas County"
"1250215",1250215,"4297 TRENTON DR, STAR LAKE WI 54561","Vilas County"
"1250271",1250271,"4286 RAVINE DR, STAR LAKE WI 54561","Vilas County"
"1250355",1250355,"8157 PLEASANT VALLEY LN, STAR LAKE WI 54561-9721","Vilas County"
"1250399",1250399,"2881 COLD WATER DR, STAR LAKE WI 54561","Vilas County"
"1251535",1251535,"850 COLLINS ST, CLYMAN WI 53016","Dodge County"
"1251562",1251562,"400 CENTER CIR, CLYMAN WI 53016","Dodge County"
"1251581",1251581,"840 COLLINS ST, CLYMAN WI 53016","Dodge County"
"1251633",1251633,"513 NORTH ST, CLYMAN WI 53016","Dodge County"
"1251654",1251654,"507 NORTH ST, CLYMAN WI 53016","Dodge County"
"1251665",1251665,"820 COLLINS ST, CLYMAN WI 53016","Dodge County"
"1251669",1251669,"800 CIRCLE VIEW CIR, CLYMAN WI 53016","Dodge County"
"1251672",1251672,"628 FIRST STREET, CLYMAN WI 53016","Dodge County"
"1251696",1251696,"447 HC 2, PRESQUE ISLE WI 99999","Vilas County"
"1251705",1251705,"629 MAIN ST, CLYMAN WI 53016","Dodge County"
"1251752",1251752,"403 CENTER CIR, CLYMAN WI 53016","Dodge County"
"1251754",1251754,"900 COLLINS ST, CLYMAN WI 53016","Dodge County"
"1251770",1251770,"708 TERRITORIAL RD, CLYMAN WI 53016","Dodge County"
"1251818",1251818,"409 CENTER CIR, CLYMAN WI 53016","Dodge County"
"1251831",1251831,"506 MAIN ST 2, CLYMAN WI 53016","Dodge County"
"1251871",1251871,"711 MAIN ST, CLYMAN WI 53016","Dodge County"
"1251890",1251890,"506 MAIN ST 8, CLYMAN WI 53016","Dodge County"
"1251955",1251955,"860 COLLINS ST, CLYMAN WI 53016","Dodge County"
"1251986",1251986,"760 COLLINS ST, CLYMAN WI 53016","Dodge County"
"1252015",1252015,"713 CHURCH ST, CLYMAN WI 53016","Dodge County"
"1252025",1252025,"700 CIRCLE VIEW CIR, CLYMAN WI 53016","Dodge County"
"1252060",1252060,"906 CHURCH ST, CLYMAN WI 53016","Dodge County"
"1252483",1252483,"204 1ST ST, FRIESLAND WI 53935-9713","Columbia County"
"1252775",1252775,"N517 ASH ST, ASHIPPUN WI 53003","Dodge County"
"1253875",1253875,"N51W34861 WISCSN AVE UNIT 1119, OKAUCHEE WI 54444","Waukesha County"
"1255354",1255354,"4705 LANNON RD, BROOKFIELD WI 54444","Waukesha County"
"1260602",1260602,"W243N2312 SADDLE BROOK DR APT 201, PEWAUKEE WI 54444","Waukesha County"
"1263160",1263160,"N57W26416 MOUNTAIN MEADOWS DR, LISBON WI 54444","Waukesha County"
"1263869",1263869,"N109W17110 AVA CIR RM 207, GERMANTOWN WI 99999","Washington County"
"1264346",1264346,"4638 MEADOWLARK DR, MORRISONVILLE WI 53571","Dane County"
"1267433",1267433,"W2625 OAK ST, ASHIPPUN WI 53003","Dodge County"
