,MUNICIPAL,ZIP,POLLING LOCATION,address,address2,full_addr
MUNICIPAL OWNED BLDG,MARSHALL,15090,MARSHALL TOWNSHIP MINICIPAL BLDG 525 PLEASANT HILL RD,#VALUE!,#VALUE!,#VALUE!
PRIVATE SCHOOL,MARSHALL,16066,REGIONAL LEARNING ALLIANCE- 850 CRANBERRY WOODS RD, 850 CRANBERRY WOODS RD," 850 CRANBERRY WOODS RD, MARSHALL"," 850 CRANBERRY WOODS RD, MARSHALL, Pennsylvania, 16066"
N. ALLEGHENY SCHOOL DIST.,MARSHALL,15090,MARSHALL MIDDLE SCHOOL- 5145 WEXFORD RUN RD. , 5145 WEXFORD RUN RD. ," 5145 WEXFORD RUN RD. , MARSHALL"," 5145 WEXFORD RUN RD. , MARSHALL, Pennsylvania, 15090"
MUNICIPAL OWNED BLDG,MCCANDLESS,15090,MCCANDLESS MUNICIPAL BUILDING- 9955 GRUBBS RD. , 9955 GRUBBS RD. ," 9955 GRUBBS RD. , MCCANDLESS"," 9955 GRUBBS RD. , MCCANDLESS, Pennsylvania, 15090"
CHURCH/TEMPLE,MCCANDLESS,15090,NORTH PARK CHURCH- 600 INGOMAR RD. , 600 INGOMAR RD. ," 600 INGOMAR RD. , MCCANDLESS"," 600 INGOMAR RD. , MCCANDLESS, Pennsylvania, 15090"
PRIVATE SCHOOL,MCCANDLESS,15090,ST. ALEXIS SCHOOL- 10090 OLD PERRY HWY. , 10090 OLD PERRY HWY. ," 10090 OLD PERRY HWY. , MCCANDLESS"," 10090 OLD PERRY HWY. , MCCANDLESS, Pennsylvania, 15090"
N. ALLEGHENY SCHOOL DIST.,MCCANDLESS,15090,BAIERL CENTER AT NA HIGH SCHOOL 10375 PERRY HWY,#VALUE!,#VALUE!,#VALUE!
N. ALLEGHENY SCHOOL DIST.,MCCANDLESS,15090,BAIERL CENTER AT NA HIGH SCHOOL 10375 PERRY HWY,#VALUE!,#VALUE!,#VALUE!
PRIVATE SCHOOL,MCCANDLESS,15090,ST. ALEXIS SCHOOL- 10090 OLD PERRY HWY. , 10090 OLD PERRY HWY. ," 10090 OLD PERRY HWY. , MCCANDLESS"," 10090 OLD PERRY HWY. , MCCANDLESS, Pennsylvania, 15090"
CHURCH/TEMPLE,MCCANDLESS,15237,NORTHMONT U.P. CHURCH- 8169 PERRY HIGHWAY, 8169 PERRY HIGHWAY," 8169 PERRY HIGHWAY, MCCANDLESS"," 8169 PERRY HIGHWAY, MCCANDLESS, Pennsylvania, 15237"
N. ALLEGHENY SCHOOL DIST.,MCCANDLESS,15237,INGOMAR ELEMENTARY SCHOOL- 602 W INGOMAR RD, 602 W INGOMAR RD," 602 W INGOMAR RD, MCCANDLESS"," 602 W INGOMAR RD, MCCANDLESS, Pennsylvania, 15237"
N. ALLEGHENY SCHOOL DIST.,MCCANDLESS,15237,INGOMAR ELEMENTARY SCHOOL- 602 W INGOMAR RD, 602 W INGOMAR RD," 602 W INGOMAR RD, MCCANDLESS"," 602 W INGOMAR RD, MCCANDLESS, Pennsylvania, 15237"
CHURCH/TEMPLE,MCCANDLESS,15237,NORTHMONT U.P. CHURCH- 8169 PERRY HIGHWAY , 8169 PERRY HIGHWAY ," 8169 PERRY HIGHWAY , MCCANDLESS"," 8169 PERRY HIGHWAY , MCCANDLESS, Pennsylvania, 15237"
CHURCH/TEMPLE,MCCANDLESS,15237,PITTSBURGH CHRISTIAN CHINESE CHURCH- 8711 OLD PERRY HWY., 8711 OLD PERRY HWY.," 8711 OLD PERRY HWY., MCCANDLESS"," 8711 OLD PERRY HWY., MCCANDLESS, Pennsylvania, 15237"
CHURCH/TEMPLE,MCCANDLESS,15237,PITTSBURGH CHRISTIAN CHINESE CHURCH- 8711 OLD PERRY HWY., 8711 OLD PERRY HWY.," 8711 OLD PERRY HWY., MCCANDLESS"," 8711 OLD PERRY HWY., MCCANDLESS, Pennsylvania, 15237"
CHURCH/TEMPLE,MCCANDLESS,15090,NORTH PARK EVANG. U.P. CHURCH- 600 INGOMAR RD., 600 INGOMAR RD.," 600 INGOMAR RD., MCCANDLESS"," 600 INGOMAR RD., MCCANDLESS, Pennsylvania, 15090"
CHURCH/TEMPLE,MCCANDLESS,15237,ST JOHN'S LUTHERAN CHURCH OF HIGHLAND- 311 CUMBERLAND RD. , 311 CUMBERLAND RD. ," 311 CUMBERLAND RD. , MCCANDLESS"," 311 CUMBERLAND RD. , MCCANDLESS, Pennsylvania, 15237"
N. ALLEGHENY SCHOOL DIST.,MCCANDLESS,15237,MCKNIGHT ELEMENTARY SCHOOL- 500 CUMBERLAND RD., 500 CUMBERLAND RD.," 500 CUMBERLAND RD., MCCANDLESS"," 500 CUMBERLAND RD., MCCANDLESS, Pennsylvania, 15237"
N. ALLEGHENY SCHOOL DIST.,MCCANDLESS,15237,PEEBLES ELEMENTARY SCHOOL- 8625 PEEBLES RD. , 8625 PEEBLES RD. ," 8625 PEEBLES RD. , MCCANDLESS"," 8625 PEEBLES RD. , MCCANDLESS, Pennsylvania, 15237"
CHURCH/TEMPLE,MCCANDLESS,15101,MEMORIAL PARK CHURCH- 8800 PEEBLES RD. , 8800 PEEBLES RD. ," 8800 PEEBLES RD. , MCCANDLESS"," 8800 PEEBLES RD. , MCCANDLESS, Pennsylvania, 15101"
N. ALLEGHENY SCHOOL DIST.,MCCANDLESS,15101,HOSACK ELEMENTARY SCHOOL- 9275 PEEBLES RD. , 9275 PEEBLES RD. ," 9275 PEEBLES RD. , MCCANDLESS"," 9275 PEEBLES RD. , MCCANDLESS, Pennsylvania, 15101"
CHURCH/TEMPLE,MCCANDLESS,15101,MEMORIAL PARK CHURCH- 8800 PEEBLES RD.  , 8800 PEEBLES RD.  ," 8800 PEEBLES RD.  , MCCANDLESS"," 8800 PEEBLES RD.  , MCCANDLESS, Pennsylvania, 15101"
CHURCH/TEMPLE,MCCANDLESS,15101,MEMORIAL PARK CHURCH- 8800 PEEBLES RD.  , 8800 PEEBLES RD.  ," 8800 PEEBLES RD.  , MCCANDLESS"," 8800 PEEBLES RD.  , MCCANDLESS, Pennsylvania, 15101"
CHURCH/TEMPLE,MCCANDLESS,15101,NORTH PARK BAPTIST CHURCH--1600 SAMPLE RD,-1600 SAMPLE RD,"-1600 SAMPLE RD, MCCANDLESS","-1600 SAMPLE RD, MCCANDLESS, Pennsylvania, 15101"
CHURCH/TEMPLE,MCDONALD,15082,INDEPENDENT BIBLE PRESBYTERIAN CHURCH- 112 DEMPE ST., 112 DEMPE ST.," 112 DEMPE ST., MCDONALD"," 112 DEMPE ST., MCDONALD, Pennsylvania, 15082"
CHURCH/TEMPLE,MCKEESPORT,15132,ST MARTIN DE PORRES- 803 MARKET ST, 803 MARKET ST," 803 MARKET ST, MCKEESPORT"," 803 MARKET ST, MCKEESPORT, Pennsylvania, 15132"
CHURCH/TEMPLE,MCKEESPORT,15132,ST MARTIN DE PORRES- 803 MARKET ST, 803 MARKET ST," 803 MARKET ST, MCKEESPORT"," 803 MARKET ST, MCKEESPORT, Pennsylvania, 15132"
MCKEESPORT HOUSING,MCKEESPORT,15132,ISBIR MANOR 17 BUILDING- 100 BLOCK OF MARKET ST., 100 BLOCK OF MARKET ST.," 100 BLOCK OF MARKET ST., MCKEESPORT"," 100 BLOCK OF MARKET ST., MCKEESPORT, Pennsylvania, 15132"
MCKEESPORT HOUSING,MCKEESPORT,15132,ISBIR MANOR 17 BUILDING- 100 BLOCK OF MARKET ST., 100 BLOCK OF MARKET ST.," 100 BLOCK OF MARKET ST., MCKEESPORT"," 100 BLOCK OF MARKET ST., MCKEESPORT, Pennsylvania, 15132"
MCKEESPORT HOUSING,MCKEESPORT,15132,MCKEESPORT DOWNTOWN HOUSING-523 SINCLAIR ST,523 SINCLAIR ST,"523 SINCLAIR ST, MCKEESPORT","523 SINCLAIR ST, MCKEESPORT, Pennsylvania, 15132"
MCKEESPORT HOUSING,MCKEESPORT,15132,MCKEESPORT HOUSING AUTHORITY- 601 SIXTH ST.  , 601 SIXTH ST.  ," 601 SIXTH ST.  , MCKEESPORT"," 601 SIXTH ST.  , MCKEESPORT, Pennsylvania, 15132"
CHURCH/TEMPLE,MCKEESPORT,15132,THE FIRST CHURCH OF THE OPEN BIBLE- 719 UNION ST. , 719 UNION ST. ," 719 UNION ST. , MCKEESPORT"," 719 UNION ST. , MCKEESPORT, Pennsylvania, 15132"
CHURCH/TEMPLE,MCKEESPORT,15132,THE FIRST CHURCH OF THE OPEN BIBLE- 719 UNION ST. , 719 UNION ST. ," 719 UNION ST. , MCKEESPORT"," 719 UNION ST. , MCKEESPORT, Pennsylvania, 15132"
CHURCH/TEMPLE,MCKEESPORT,15132,FIRST UNITED METHODIST CHURCH 1406 CORNELL ST,#VALUE!,#VALUE!,#VALUE!
PUBLIC SCHOOLS,MCKEESPORT,15132,TWIN RIVERS INTERMEDIATE SCHOOL COMMUNITY RM-1602 CORNELL ST,1602 CORNELL ST,"1602 CORNELL ST, MCKEESPORT","1602 CORNELL ST, MCKEESPORT, Pennsylvania, 15132"
VOL FIRE STATIONS,MCKEESPORT,15132,#3 ENGINE HOUSE- 1604 EVANS AVE, 1604 EVANS AVE," 1604 EVANS AVE, MCKEESPORT"," 1604 EVANS AVE, MCKEESPORT, Pennsylvania, 15132"
CHURCH/TEMPLE,MCKEESPORT,15132,ST PIUS SOCIAL HALL-2911 VERSAILLES AVE,2911 VERSAILLES AVE,"2911 VERSAILLES AVE, MCKEESPORT","2911 VERSAILLES AVE, MCKEESPORT, Pennsylvania, 15132"
CHURCH/TEMPLE,MCKEESPORT,15132,ST PIUS SOCIAL HALL-2911 VERSAILLES AVE,2911 VERSAILLES AVE,"2911 VERSAILLES AVE, MCKEESPORT","2911 VERSAILLES AVE, MCKEESPORT, Pennsylvania, 15132"
CHURCH/TEMPLE,MCKEESPORT,15132,THE FATHERS HEART MINISTRY 1911 SOLES ST. ,#VALUE!,#VALUE!,#VALUE!
VOL FIRE STATIONS,MCKEESPORT,15132,#3 ENGINE HOUSE- 1604 EVANS AVE-, 1604 EVANS AVE-," 1604 EVANS AVE-, MCKEESPORT"," 1604 EVANS AVE-, MCKEESPORT, Pennsylvania, 15132"
CHURCH/TEMPLE,MCKEESPORT,15132,HIGHLAND GROVE UNITED METHODIST CHURCH- 2909 HIGHLAND AVE., 2909 HIGHLAND AVE.," 2909 HIGHLAND AVE., MCKEESPORT"," 2909 HIGHLAND AVE., MCKEESPORT, Pennsylvania, 15132"
PUBLIC SCHOOLS,MCKEESPORT,15132,MCKEESPORT HIGH SCHOOL TIGER INN--1960 EDEN PARK BLVD,-1960 EDEN PARK BLVD,"-1960 EDEN PARK BLVD, MCKEESPORT","-1960 EDEN PARK BLVD, MCKEESPORT, Pennsylvania, 15132"
CHURCH/TEMPLE,MCKEESPORT,15132,ST PIUS SOCIAL HALL-2911 VERSAILLES AVE,2911 VERSAILLES AVE,"2911 VERSAILLES AVE, MCKEESPORT","2911 VERSAILLES AVE, MCKEESPORT, Pennsylvania, 15132"
CHURCH/TEMPLE,MCKEESPORT,15132,CHURCH OF CHRIST-947 FRANKLIN,947 FRANKLIN,"947 FRANKLIN, MCKEESPORT","947 FRANKLIN, MCKEESPORT, Pennsylvania, 15132"
MCKEESPORT HOUSING,MCKEESPORT,15132,STEEL VIEW MANOR- 501 PIRL ST., 501 PIRL ST.," 501 PIRL ST., MCKEESPORT"," 501 PIRL ST., MCKEESPORT, Pennsylvania, 15132"
CHURCH/TEMPLE,MCKEESPORT,15132,CHURCH OF CHRIST-947 FRANKLIN,947 FRANKLIN,"947 FRANKLIN, MCKEESPORT","947 FRANKLIN, MCKEESPORT, Pennsylvania, 15132"
CHURCH/TEMPLE,MCKEESPORT,15132,BEULAH PARK UNITED METHODIST CHURCH- 1615 GRANDVIEW AVE. , 1615 GRANDVIEW AVE. ," 1615 GRANDVIEW AVE. , MCKEESPORT"," 1615 GRANDVIEW AVE. , MCKEESPORT, Pennsylvania, 15132"
MCKEESPORT HOUSING,MCKEESPORT,15132,GRANDVIEW APARTMENTS- 2130 GRANDVIEW AVE. , 2130 GRANDVIEW AVE. ," 2130 GRANDVIEW AVE. , MCKEESPORT"," 2130 GRANDVIEW AVE. , MCKEESPORT, Pennsylvania, 15132"
CHURCH/TEMPLE,MCKEESPORT,15132,BEULAH PARK UNITED METHODIST CHURCH- 1615 GRANDVIEW AVE. , 1615 GRANDVIEW AVE. ," 1615 GRANDVIEW AVE. , MCKEESPORT"," 1615 GRANDVIEW AVE. , MCKEESPORT, Pennsylvania, 15132"
CHURCH/TEMPLE,MCKEESPORT,15132,WEST SIDE UNITED METHODIST CH SOCIAL HALL-307 ATLANTIC AVE,307 ATLANTIC AVE,"307 ATLANTIC AVE, MCKEESPORT","307 ATLANTIC AVE, MCKEESPORT, Pennsylvania, 15132"
CHURCH/TEMPLE,MCKEESPORT,15132,WEST SIDE UNITED METHODIST CH SOCIAL HALL-307 ATLANTIC AVE,307 ATLANTIC AVE,"307 ATLANTIC AVE, MCKEESPORT","307 ATLANTIC AVE, MCKEESPORT, Pennsylvania, 15132"
CHURCH/TEMPLE,MCKEESPORT,15132,CHRISTY PARK UNITED METHODIST CHURCH-436 29TH ST,436 29TH ST,"436 29TH ST, MCKEESPORT","436 29TH ST, MCKEESPORT, Pennsylvania, 15132"
CHURCH/TEMPLE,MCKEESPORT,15132,ST PATRICK PARISH- 316 32ND ST. , 316 32ND ST. ," 316 32ND ST. , MCKEESPORT"," 316 32ND ST. , MCKEESPORT, Pennsylvania, 15132"
CHURCH/TEMPLE,MCKEESPORT,15132,THE FATHERS HEART MINISTRY 1911 SOLES ST. ,#VALUE!,#VALUE!,#VALUE!
BUSINESS,MCKEESPORT,15132,MAPLEWOOD KIDS INC GYM- 3915 MAPLEWOOD ST, 3915 MAPLEWOOD ST," 3915 MAPLEWOOD ST, MCKEESPORT"," 3915 MAPLEWOOD ST, MCKEESPORT, Pennsylvania, 15132"
CHURCH/TEMPLE,MCKEESPORT,15132,FIRST EVANGELICAL FREE CHURCH- 4001 UNIVERSITY DR., 4001 UNIVERSITY DR.," 4001 UNIVERSITY DR., MCKEESPORT"," 4001 UNIVERSITY DR., MCKEESPORT, Pennsylvania, 15132"
PRIVATE SCHOOL,MCKEESPORT,15132,SERRA CATHOLIC HIGH SCHOOL-200 HERSHEY DR,200 HERSHEY DR,"200 HERSHEY DR, MCKEESPORT","200 HERSHEY DR, MCKEESPORT, Pennsylvania, 15132"
MUNICIPAL OWNED BLDG,MCKEES ROCKS,15136,HAYS MANOR COMMUNITY CENTER 205 LOCUST ST,#VALUE!,#VALUE!,#VALUE!
MUNICIPAL OWNED BLDG,MCKEES ROCKS,15136,MCKEES ROCKS BORO COUNCIL CHAMBERS BLDG 340 BELL AVE,#VALUE!,#VALUE!,#VALUE!
PRIVATE SCHOOL,MCKEES ROCKS,15136,HOLY GHOST SCHOOL- 224 HELEN ST., 224 HELEN ST.," 224 HELEN ST., MCKEES ROCKS"," 224 HELEN ST., MCKEES ROCKS, Pennsylvania, 15136"
PRIVATE SCHOOL,MCKEES ROCKS,15136,HOLY GHOST SCHOOL- 224 HELEN ST., 224 HELEN ST.," 224 HELEN ST., MCKEES ROCKS"," 224 HELEN ST., MCKEES ROCKS, Pennsylvania, 15136"
BUSINESS,MCKEES ROCKS,15136,VFW VESLEY POST 418 - 1242  CHARTIERS AVE, 1242  CHARTIERS AVE," 1242  CHARTIERS AVE, MCKEES ROCKS"," 1242  CHARTIERS AVE, MCKEES ROCKS, Pennsylvania, 15136"
BUSINESS,MCKEES ROCKS,15136,VFW VESLEY POST 418 - 1242  CHARTIERS AVE, 1242  CHARTIERS AVE," 1242  CHARTIERS AVE, MCKEES ROCKS"," 1242  CHARTIERS AVE, MCKEES ROCKS, Pennsylvania, 15136"
BUSINESS,MCKEES ROCKS,15136,VFW VESLEY POST 418 - 1242  CHARTIERS AVE, 1242  CHARTIERS AVE," 1242  CHARTIERS AVE, MCKEES ROCKS"," 1242  CHARTIERS AVE, MCKEES ROCKS, Pennsylvania, 15136"
PUBLIC REC CENTERS,MILLVALE,15209,MILLVALE COMMUNITY CENTER- 416 LINCOLN AVE., 416 LINCOLN AVE.," 416 LINCOLN AVE., MILLVALE"," 416 LINCOLN AVE., MILLVALE, Pennsylvania, 15209"
CHURCH/TEMPLE,MILLVALE,15209,CHRIST LUTHERAN CHURCH- 917 EVERGREEN AVE.  , 917 EVERGREEN AVE.  ," 917 EVERGREEN AVE.  , MILLVALE"," 917 EVERGREEN AVE.  , MILLVALE, Pennsylvania, 15209"
PUBLIC REC CENTERS,MILLVALE,15209,MILLVALE COMMUNITY CENTER- 416 LINCOLN AVE., 416 LINCOLN AVE.," 416 LINCOLN AVE., MILLVALE"," 416 LINCOLN AVE., MILLVALE, Pennsylvania, 15209"
PRIVATE SCHOOL,MILLVALE,15209,HOLY SPIRIT LYCEUM- 100 HOWARD ST, 100 HOWARD ST," 100 HOWARD ST, MILLVALE"," 100 HOWARD ST, MILLVALE, Pennsylvania, 15209"
CHURCH/TEMPLE,MILLVALE,15209,CHRIST LUTHERAN CHURCH- 917 EVERGREEN AVE. , 917 EVERGREEN AVE. ," 917 EVERGREEN AVE. , MILLVALE"," 917 EVERGREEN AVE. , MILLVALE, Pennsylvania, 15209"
VOL FIRE STATIONS,MONROEVILLE,15146,MONROEVILLE V.F.D. #3- 2601 THIRD ST., 2601 THIRD ST.," 2601 THIRD ST., MONROEVILLE"," 2601 THIRD ST., MONROEVILLE, Pennsylvania, 15146"
CHURCH/TEMPLE,MONROEVILLE,15146,NEW COVENANT CHURCH- 2225 GRANDVIEW AVE., 2225 GRANDVIEW AVE.," 2225 GRANDVIEW AVE., MONROEVILLE"," 2225 GRANDVIEW AVE., MONROEVILLE, Pennsylvania, 15146"
PUBLIC SCHOOLS,MONROEVILLE,15146,DR CLEVELAND STEWARD ELEM SCHOOL- 5000 GATEWAY CAMPUS BLVD. , 5000 GATEWAY CAMPUS BLVD. ," 5000 GATEWAY CAMPUS BLVD. , MONROEVILLE"," 5000 GATEWAY CAMPUS BLVD. , MONROEVILLE, Pennsylvania, 15146"
PUBLIC SCHOOLS,MONROEVILLE,15146,DR CLEVELAND STEWARD ELEM SCHOOL- 5000 GATEWAY CAMPUS BLVD. , 5000 GATEWAY CAMPUS BLVD. ," 5000 GATEWAY CAMPUS BLVD. , MONROEVILLE"," 5000 GATEWAY CAMPUS BLVD. , MONROEVILLE, Pennsylvania, 15146"
CHURCH/TEMPLE,MONROEVILLE,15146,CROSS ROADS PRESBYTERIAN CHURCH- 2310 HAYMAKER RD., 2310 HAYMAKER RD.," 2310 HAYMAKER RD., MONROEVILLE"," 2310 HAYMAKER RD., MONROEVILLE, Pennsylvania, 15146"
CHURCH/TEMPLE,MONROEVILLE,15146,CROSS ROADS PRESBYTERIAN CHURCH- 2310 HAYMAKER RD., 2310 HAYMAKER RD.," 2310 HAYMAKER RD., MONROEVILLE"," 2310 HAYMAKER RD., MONROEVILLE, Pennsylvania, 15146"
PRIVATE SCHOOL,MONROEVILLE,15146,NORTH AMERICAN MARTYRS SCHOOL- 2526 HAYMAKER RD. , 2526 HAYMAKER RD. ," 2526 HAYMAKER RD. , MONROEVILLE"," 2526 HAYMAKER RD. , MONROEVILLE, Pennsylvania, 15146"
PUBLIC SCHOOLS,MONROEVILLE,15146,GATEWAY MIDDLE SCHOOL- 4450 OLD WILLIAM PENN HWY., 4450 OLD WILLIAM PENN HWY.," 4450 OLD WILLIAM PENN HWY., MONROEVILLE"," 4450 OLD WILLIAM PENN HWY., MONROEVILLE, Pennsylvania, 15146"
CHURCH/TEMPLE,MONROEVILLE,15146,CHURCH OF THE RESURRECTION- 455 CENTER RD. , 455 CENTER RD. ," 455 CENTER RD. , MONROEVILLE"," 455 CENTER RD. , MONROEVILLE, Pennsylvania, 15146"
CHURCH/TEMPLE,MONROEVILLE,15146,CHURCH OF THE RESURRECTION- 455 CENTER RD. , 455 CENTER RD. ," 455 CENTER RD. , MONROEVILLE"," 455 CENTER RD. , MONROEVILLE, Pennsylvania, 15146"
PUBLIC SCHOOLS,MONROEVILLE,15146,UNIVERSITY PARK ELEMENTARY SCHOOL- 320 NOEL DR. , 320 NOEL DR. ," 320 NOEL DR. , MONROEVILLE"," 320 NOEL DR. , MONROEVILLE, Pennsylvania, 15146"
CHURCH/TEMPLE,MONROEVILLE,15146,GRACE BAPTIST CHURCH- 4518 NORTHERN PIKE, 4518 NORTHERN PIKE," 4518 NORTHERN PIKE, MONROEVILLE"," 4518 NORTHERN PIKE, MONROEVILLE, Pennsylvania, 15146"
CHURCH/TEMPLE,MONROEVILLE,15146,GRACE BAPTIST CHURCH- 4518 NORTHERN PIKE, 4518 NORTHERN PIKE," 4518 NORTHERN PIKE, MONROEVILLE"," 4518 NORTHERN PIKE, MONROEVILLE, Pennsylvania, 15146"
PUBLIC SCHOOLS,MONROEVILLE,15146,UNIVERSITY PARK ELEMENTARY SCHOOL- 320 NOEL DR., 320 NOEL DR.," 320 NOEL DR., MONROEVILLE"," 320 NOEL DR., MONROEVILLE, Pennsylvania, 15146"
VOL FIRE STATIONS,MONROEVILLE,15146,MONROEVILLE V.F.C. #1- 122 ELMWOOD ST. , 122 ELMWOOD ST. ," 122 ELMWOOD ST. , MONROEVILLE"," 122 ELMWOOD ST. , MONROEVILLE, Pennsylvania, 15146"
VOL FIRE STATIONS,MONROEVILLE,15146,MONROEVILLE V.F.C. #1- 122 ELMWOOD ST. , 122 ELMWOOD ST. ," 122 ELMWOOD ST. , MONROEVILLE"," 122 ELMWOOD ST. , MONROEVILLE, Pennsylvania, 15146"
PUBLIC SCHOOLS,MONROEVILLE,15146,DR CLEVELAND STEWARD ELEM SCHOOL- 5000 GATEWAY CAMPUS BLVD. , 5000 GATEWAY CAMPUS BLVD. ," 5000 GATEWAY CAMPUS BLVD. , MONROEVILLE"," 5000 GATEWAY CAMPUS BLVD. , MONROEVILLE, Pennsylvania, 15146"
VOL FIRE STATIONS,MONROEVILLE,15146,MONROEVILLE V.F.C. #1- 122 ELMWOOD ST. , 122 ELMWOOD ST. ," 122 ELMWOOD ST. , MONROEVILLE"," 122 ELMWOOD ST. , MONROEVILLE, Pennsylvania, 15146"
CHURCH/TEMPLE,MONROEVILLE,15146,HILLCREST UNITED PRESBYTERIAN CHURCH- 1622 JAMES ST. , 1622 JAMES ST. ," 1622 JAMES ST. , MONROEVILLE"," 1622 JAMES ST. , MONROEVILLE, Pennsylvania, 15146"
CHURCH/TEMPLE,MONROEVILLE,15146,HILLCREST UNITED PRESBYTERIAN CHURCH- 1622 JAMES ST. , 1622 JAMES ST. ," 1622 JAMES ST. , MONROEVILLE"," 1622 JAMES ST. , MONROEVILLE, Pennsylvania, 15146"
MUNICIPAL OWNED BLDG,MONROEVILLE,15146,MUNICIPALITY OF MONROEVILLE- 2700 MONROEVILLE BLVD. , 2700 MONROEVILLE BLVD. ," 2700 MONROEVILLE BLVD. , MONROEVILLE"," 2700 MONROEVILLE BLVD. , MONROEVILLE, Pennsylvania, 15146"
MUNICIPAL OWNED BLDG,MONROEVILLE,15146,MUNICIPALITY OF MONROEVILLE- 2700 MONROEVILLE BLVD. , 2700 MONROEVILLE BLVD. ," 2700 MONROEVILLE BLVD. , MONROEVILLE"," 2700 MONROEVILLE BLVD. , MONROEVILLE, Pennsylvania, 15146"
VOL FIRE STATIONS,MONROEVILLE,15146,MONROEVILLE VOL. FIRE #6- 600 GARDEN CITY DR, 600 GARDEN CITY DR," 600 GARDEN CITY DR, MONROEVILLE"," 600 GARDEN CITY DR, MONROEVILLE, Pennsylvania, 15146"
VOL FIRE STATIONS,MONROEVILLE,15146,MONROEVILLE VOL. FIRE #6- 600 GARDEN CITY DR, 600 GARDEN CITY DR," 600 GARDEN CITY DR, MONROEVILLE"," 600 GARDEN CITY DR, MONROEVILLE, Pennsylvania, 15146"
PUBLIC SCHOOLS,MONROEVILLE,15146,EVERGREEN ELEMENTARY SCHOOL- 3831 EVERGREEN DR. , 3831 EVERGREEN DR. ," 3831 EVERGREEN DR. , MONROEVILLE"," 3831 EVERGREEN DR. , MONROEVILLE, Pennsylvania, 15146"
MOON AREA SCHOOL DIST.,MOON,15108,NEW MOON AREA HIGH SCHOOL CAFETERIA LOBBY-8353 UNIVERSISTY BLVD,8353 UNIVERSISTY BLVD,"8353 UNIVERSISTY BLVD, MOON","8353 UNIVERSISTY BLVD, MOON, Pennsylvania, 15108"
MUNICIPAL OWNED BLDG,MOON,15108,MOON TWP MUNICIPAL BUILDING- 1000 BEAVER GRADE RD. , 1000 BEAVER GRADE RD. ," 1000 BEAVER GRADE RD. , MOON"," 1000 BEAVER GRADE RD. , MOON, Pennsylvania, 15108"
MOON AREA SCHOOL DIST.,MOON,15108,RICHARD HYDE ELEM- 110 WALLRIDGE DR, 110 WALLRIDGE DR," 110 WALLRIDGE DR, MOON"," 110 WALLRIDGE DR, MOON, Pennsylvania, 15108"
MOON AREA SCHOOL DIST.,MOON,15108,BON MEADE ELE SCH-1595 BROADHEAD RD,1595 BROADHEAD RD,"1595 BROADHEAD RD, MOON","1595 BROADHEAD RD, MOON, Pennsylvania, 15108"
MOON AREA SCHOOL DIST.,MOON,15108,BON MEADE ELE SCH-1595 BROADHEAD RD,1595 BROADHEAD RD,"1595 BROADHEAD RD, MOON","1595 BROADHEAD RD, MOON, Pennsylvania, 15108"
MOON AREA SCHOOL DIST.,MOON,15108,MCCORMICK ELEMENTARY SCHOOL- 2801 BEAVER GRADE RD. , 2801 BEAVER GRADE RD. ," 2801 BEAVER GRADE RD. , MOON"," 2801 BEAVER GRADE RD. , MOON, Pennsylvania, 15108"
CHURCH/TEMPLE,MOON,15108,ST ANDREW LUTHERAN CHURCH- 987 BEAVER GRADE RD, 987 BEAVER GRADE RD," 987 BEAVER GRADE RD, MOON"," 987 BEAVER GRADE RD, MOON, Pennsylvania, 15108"
MOON AREA SCHOOL DIST.,MOON,15108,J.H. BROOKS ELEMENTARY SCHOOL- 1720 HASSAM RD. , 1720 HASSAM RD. ," 1720 HASSAM RD. , MOON"," 1720 HASSAM RD. , MOON, Pennsylvania, 15108"
CHURCH/TEMPLE,MOON,15108,ST ANDREW LUTHERAN CHURCH- 987 BEAVER GRADE RD, 987 BEAVER GRADE RD," 987 BEAVER GRADE RD, MOON"," 987 BEAVER GRADE RD, MOON, Pennsylvania, 15108"
MUNICIPAL OWNED BLDG,MOON,15108,MOON TWP MUNICIPAL BUILDING- 1000 BEAVER GRADE RD. , 1000 BEAVER GRADE RD. ," 1000 BEAVER GRADE RD. , MOON"," 1000 BEAVER GRADE RD. , MOON, Pennsylvania, 15108"
MOON AREA SCHOOL DIST.,MOON,15108,J.A. ALLARD ELEMENTARY SCHOOL- 170 SHAFER RD. , 170 SHAFER RD. ," 170 SHAFER RD. , MOON"," 170 SHAFER RD. , MOON, Pennsylvania, 15108"
MOON AREA SCHOOL DIST.,MOON,15108,J.H. BROOKS ELEMENTARY SCHOOL- 1720 HASSAM RD. , 1720 HASSAM RD. ," 1720 HASSAM RD. , MOON"," 1720 HASSAM RD. , MOON, Pennsylvania, 15108"
MOON AREA SCHOOL DIST.,MOON,15108,J.A. ALLARD ELEMENTARY SCHOOL- 170 SHAFER RD. , 170 SHAFER RD. ," 170 SHAFER RD. , MOON"," 170 SHAFER RD. , MOON, Pennsylvania, 15108"
MT. LEBANON SCHOOL DIST.,MT LEBANON,15243,THOMAS JEFFERSON MIDDLE SCHOOL- 11 MOFFETT ST. , 11 MOFFETT ST. ," 11 MOFFETT ST. , MT LEBANON"," 11 MOFFETT ST. , MT LEBANON, Pennsylvania, 15243"
