"vre602","cd","ss","sh","cc","ed","mu","ext","address","white_a","white_i","black_a","black_i","hispanic_a","hispanic_i","asian_a","asian_i","other_a","other_i","total_a","total_i"
"AP022",6,56,49,2,1,"LRG",737,"Wills Recreation Center 11925 Wills Rd
Split (AP021, AP022, AP02B)",1367,98,315,15,140,6,150,5,372,31,2344,155
"AP02B",6,56,48,2,1,"LRG",735,"Wills Recreation Center 11925 Wills Rd
Split (AP021, AP022, AP02B)",370,22,59,1,21,3,35,0,109,3,594,29
"AP03",6,56,48,2,1,"LRG",735,"Mimosa Elementary School 1550 Warsaw Rd
Split (AP03, RW07A, RW07B)",189,37,297,39,91,7,5,1,148,19,730,103
"AP04A",6,56,47,2,1,"LRG",736,"Alpharetta Crabapple Government Center 12624 Broadwell Rd
Split (AP04A, AP04B, AP06)",1177,72,89,3,44,2,99,0,250,16,1659,93
"AP04B",6,56,47,2,2,"LRG",738,"Alpharetta Crabapple Government Center 12624 Broadwell Rd
Split (AP04A, AP04B, AP06)",292,13,18,1,10,0,53,0,66,3,439,17
"AP05",6,21,49,1,2,"LRG",739,"Windward Fire Station 3070 Market Place",2878,192,362,16,137,5,461,13,682,38,4520,264
"AP06",6,21,49,2,2,"LRG",740,"Alpharetta Crabapple Government Center 12624 Broadwell Rd
Split (AP04A, AP04B, AP06)",1415,70,55,8,55,1,86,1,246,10,1857,90
"AP07A",6,21,49,2,2,"LRG",740,"Manning Oaks Elementary School 405 Cumming St
Split (AP07A, AP07B, ML06A)",2325,146,419,29,138,4,172,8,616,58,3670,245
"AP07B",6,21,47,2,2,"LRG",741,"Manning Oaks Elementary School 405 Cumming St
Split (AP07A, AP07B, ML06A)",1077,55,129,3,67,3,202,1,291,17,1766,79
"AP09A",6,21,49,1,2,"LRG",739,"Webb Bridge Middle School 4455 Webb Bridge Rd
Split (AP09A, AP09B)",2395,189,393,40,139,8,509,19,696,68,4132,324
"AP09B",6,48,49,1,2,"LRG",743,"Webb Bridge Middle School 4455 Webb Bridge Rd
Split (AP09A, AP09B)",369,17,106,4,29,0,170,6,183,9,857,36
"AP10",6,21,49,2,2,"LRG",740,"Alpharetta Library 10 Park Plaza",805,36,25,2,13,0,26,0,99,12,968,50
"AP12A",6,21,49,1,2,"LRG",739,"Alpharetta High School 3595 Webb Bridge Rd
Split (AP12A, AP12B, AP12C)",331,37,123,17,57,6,39,4,128,23,678,87
"AP12B",6,21,47,1,2,"LRG",744,"Alpharetta High School 3595 Webb Bridge Rd
Split (AP12A, AP12B, AP12C)",304,37,193,28,45,2,111,9,174,24,827,100
"AP12C",6,21,49,2,2,"LRG",740,"Alpharetta High School 3595 Webb Bridge Rd
Split (AP12A, AP12B, AP12C)",1403,116,192,17,63,7,57,2,282,42,1997,184
"AP14",6,56,49,1,5,"LRG",731,"Messiah Lutheran Church 4765 Kimball Bridge Road
Split (AP14, JC04A, JC04B, JC04C, JC10, JC15)",2029,129,206,8,65,2,298,5,467,29,3065,173
"CH01",13,28,65,6,4,"01",950,"Chattahoochee Hills City Hall 6505 Rico Rd
Split (CH01, CH02, CH02, CH03, CH04A, CH05)",71,8,208,7,12,0,0,0,54,2,345,17
"CH02",13,28,65,6,4,"02",951,"Chattahoochee Hills City Hall 6505 Rico Rd
Split (CH01, CH02, CH02, CH03, CH04A, CH05)",181,2,77,0,4,0,0,0,45,2,320,4
"CH03",13,28,65,6,4,"03",952,"Chattahoochee Hills City Hall 6505 Rico Rd
Split (CH01, CH02, CH02, CH03, CH04A, CH05)",271,6,75,2,5,0,1,0,46,1,398,9
"CH04A",13,28,65,6,4,"04",954,"Chattahoochee Hills City Hall 6505 Rico Rd
Split (CH01, CH02, CH02, CH03, CH04A, CH05)",569,35,36,0,10,0,1,1,111,6,727,42
"CH05",13,28,65,6,4,"05",955,"Chattahoochee Hills City Hall 6505 Rico Rd
Split (CH01, CH02, CH02, CH03, CH04A, CH05)",334,13,29,2,2,0,0,1,51,1,416,17
"CP011",5,36,62,6,3,"1",742,"College Park Auditorium 3631 Main Street
Split (CP011, CP012, CP01B, CP02, CP04A, CP04B)",350,16,716,26,33,3,7,0,167,10,1273,55
"CP012",5,36,62,6,6,"1",749,"College Park Auditorium 3631 Main Street
Split (CP011, CP012, CP01B, CP02, CP04A, CP04B)",371,14,789,19,22,0,20,1,212,12,1414,46
"CP01B",5,36,60,6,3,"1",747,"College Park Auditorium 3631 Main Street
Split (CP011, CP012, CP01B, CP02, CP04A, CP04B)",144,8,192,10,13,0,10,0,48,2,407,20
"CP02",5,36,60,6,3,"3",942,"College Park Auditorium 3631 Main Street
Split (CP011, CP012, CP01B, CP02, CP04A, CP04B)",205,10,716,32,21,3,14,0,179,7,1135,52
"CP04A",5,36,60,6,6,"1",1025,"College Park Auditorium 3631 Main Street
Split (CP011, CP012, CP01B, CP02, CP04A, CP04B)",1,0,7,0,0,0,0,0,4,0,12,0
"CP04B",5,36,60,6,6,"2",751,"College Park Auditorium 3631 Main Street
Split (CP011, CP012, CP01B, CP02, CP04A, CP04B)",2,0,32,1,0,0,0,0,1,1,35,2
"CP051",5,36,64,6,6,"4",753,"Camp Truitt Senior Center 4320 Herschel Rd Split (CP051, CP05B, CP06A, CP07B, CP07C, CP07D, CP07E, CP07F)",69,7,1388,50,33,1,8,0,206,15,1704,73
"CP05B",5,36,63,6,6,"4",752,"Camp Truitt Senior Center 4320 Herschel Rd Split (CP051, CP05B, CP06A, CP07B, CP07C, CP07D, CP07E, CP07F)",4,0,130,7,1,0,0,0,21,0,156,7
"CP06A",5,36,63,6,6,"2",754,"Camp Truitt Senior Center 4320 Herschel Rd Split (CP051, CP05B, CP06A, CP07B, CP07C, CP07D, CP07E, CP07F)",22,1,561,28,9,0,3,1,90,4,685,34
"CP07B",5,36,63,6,6,"2",943,"Camp Truitt Senior Center 4320 Herschel Rd, Split (CP051, CP05B, CP06A, CP07B, CP07C, CP07D, CP07E, CP07F)",0,0,2,1,0,0,0,0,5,0,7,1
"CP07C",5,36,64,5,6,"4",889,"Camp Truitt Senior Center 4320 Herschel Rd, Split (CP051, CP05B, CP06A, CP07B, CP07C, CP07D, CP07E, CP07F)",4,1,230,14,0,0,NA,1,36,3,271,18
"CP07D",5,36,64,6,6,"4",753,"Camp Truitt Senior Center 4320 Herschel Rd, Split (CP051, CP05B, CP06A, CP07B, CP07C, CP07D, CP07E, CP07F)",22,4,660,44,8,0,1,0,91,7,782,55
"CP07E",5,36,64,5,6,"4",889,"Camp Truitt Senior Center 4320 Herschel Rd, Split (CP051, CP05B, CP06A, CP07B, CP07C, CP07D, CP07E, CP07F)",6,0,88,9,0,0,0,0,18,0,112,9
"CP07F",5,36,64,6,6,"4",753,"Camp Truitt Senior Center 4320 Herschel Rd, Split (CP051, CP05B, CP06A, CP07B, CP07C, CP07D, CP07E, CP07F)",9,0,191,13,5,2,0,0,30,1,235,16
"CP081",13,39,63,6,6,"2",1024,"Tracey Wyatt Recreation Center 2300 Godby Rd
Split (CP081, CP083, CP084, CP08A, SC10)",7,1,298,28,0,0,4,0,45,4,354,33
"CP083",13,39,63,6,6,"3",965,"Tracey Wyatt Recreation Center 2300 Godby Rd
Split (CP081, CP083, CP084, CP08A, SC10)",4,0,178,20,2,0,0,0,25,5,209,25
"CP084",13,39,63,6,6,"2",1024,"Tracey Wyatt Recreation Center 2300 Godby Rd
Split (CP081, CP083, CP084, CP08A, SC10)",0,0,2,0,0,0,0,0,0,0,2,0
"CP08A",13,39,63,6,6,"3",965,"Tracey Wyatt Recreation Center 2300 Godby Rd
Split (CP081, CP083, CP084, CP08A, SC10)",15,2,615,49,3,0,3,0,82,4,718,55
"EP01A",5,39,60,5,6,"A",978,"East Point First Mallalieu UMC 2651 Church St
Split (EP01A, EP01B)",585,40,1689,84,98,1,12,0,436,21,2820,146
"EP01B",5,39,60,5,3,"A",979,"East Point First Mallalieu UMC 2651 Church St
Split (EP01A, EP01B)",372,22,2343,105,115,4,9,1,447,26,3286,158
"EP02A",5,36,59,6,3,"B",760,"Jefferson Recreation Center 1431 Norman Berry Drive
Split (EP02A, EP02B, EP02C, EP02D, EP02E)",163,8,1698,81,72,4,7,5,278,21,2218,119
"EP02B",5,36,59,5,3,"B",929,"Jefferson Recreation Center 1431 Norman Berry Drive
Split (EP02A, EP02B, EP02C, EP02D, EP02E)",590,40,666,31,49,1,16,3,224,17,1545,92
"EP02C",5,36,60,6,3,"B",971,"Jefferson Recreation Center 1431 Norman Berry Drive
Split (EP02A, EP02B, EP02C, EP02D, EP02E)",143,15,217,13,17,1,4,0,78,8,459,37
"EP02D",5,39,60,5,3,"B",986,"Jefferson Recreation Center 1431 Norman Berry Drive
Split (EP02A, EP02B, EP02C, EP02D, EP02E)",16,1,272,22,2,0,0,0,49,5,339,28
"EP02E",5,36,60,5,3,"B",987,"Jefferson Recreation Center 1431 Norman Berry Drive
Split (EP02A, EP02B, EP02C, EP02D, EP02E)",180,12,1122,62,37,2,3,0,213,15,1555,91
"EP03A",5,39,60,5,6,"C",980,"St. Stephens Miss. Baptist Church 2670 Hogan Rd
Split (EP03A, EP03B)",320,21,3569,118,194,5,18,3,543,27,4644,174
"EP03B",5,39,62,5,6,"C",897,"St. Stephens Miss. Baptist Church 2670 Hogan Rd
Split (EP03A, EP03B)",82,8,1206,31,37,0,5,0,169,3,1499,42
"EP04A",5,39,62,5,6,"D",765,"Brookview Elememtary Sch 3250 Hammarskjold Dr
Split (EP04A, EP04B)",176,9,4910,278,83,6,25,3,776,68,5970,364
"EP04B",13,39,62,5,6,"D",766,"Brookview Elememtary Sch 3250 Hammarskjold Dr
Split (EP04A, EP04B)",77,4,1941,94,36,1,9,0,332,15,2395,114
"FA01A",13,35,65,6,4,"LRG",767,"First Baptist Church of Fairburn 23 Malone St SE
Split (FA01A, FA01B)",350,22,2798,120,139,8,21,0,516,25,3824,175
"FA01B",13,35,65,6,4,"LRG",767,"First Baptist Church of Fairburn 23 Malone St SE
Split (FA01A, FA01B)",643,60,3831,162,185,13,42,5,883,43,5584,283
"FA01C",13,35,64,6,4,"LRG",768,"Harvest Rain Church 8567 Bohannon Rd",27,1,518,18,22,0,11,0,108,3,686,22
"FC01",5,38,61,6,4,"",784,"Wolf Creek Library 3100 Enon Rd Sw
Split (FC01, SC01A, SC01B, SC01C, SC20)",6,1,268,30,4,0,0,0,37,7,315,38
"FC02",5,38,61,6,4,"",784,"Aviation Community Cultural Center 3900 Aviation Cir Nw",64,4,367,23,11,0,7,0,130,7,579,34
"FC03",5,38,61,6,4,"",784,"Sandtown Park Recreation Center 5320 Campbellton Rd
Split (FC03, SC16A)",0,0,12,1,0,0,0,0,2,0,14,1
"HP01",5,36,59,6,3,"LRG",975,"Hoyt Smith Center 3444 N Fulton Ave",1112,67,1572,83,221,6,116,1,516,24,3537,181
"JC01",6,48,50,1,5,"LRG",770,"Shakerag Elementary School 10885 Rogers Circle",2089,131,482,26,128,6,1786,53,993,59,5478,275
"JC02",6,48,50,1,5,"LRG",770,"Northview High School 10625 Parsons Road
Split (JC02, JC06)",1098,98,311,34,93,3,720,25,478,45,2700,205
"JC03A",6,48,25,1,5,"LRG",771,"Findley Oaks Elementary School 5880 Findley Chase Drive
Split (JC03A, JC03B)",291,17,61,3,22,2,75,6,110,4,559,32
"JC03B",6,48,50,1,5,"LRG",770,"Findley Oaks Elementary School 5880 Findley Chase Drive
Split (JC03A, JC03B)",599,54,200,13,62,3,361,9,280,30,1502,109
"JC04A",6,48,25,1,5,"LRG",771,"Messiah Lutheran Church 4765 Kimball Bridge Road
Split (AP14, JC04A, JC04B, JC04C, JC10, JC15)",1818,132,218,11,72,2,417,18,436,36,2961,199
"JC04B",6,48,49,1,2,"LRG",773,"Messiah Lutheran Church 4765 Kimball Bridge Road
Split (AP14, JC04A, JC04B, JC04C, JC10, JC15)",131,11,40,1,11,1,58,1,58,7,298,21
"JC04C",6,48,25,1,2,"LRG",1028,"Messiah Lutheran Church 4765 Kimball Bridge Road
Split (AP14, JC04A, JC04B, JC04C, JC10, JC15)",612,55,152,5,48,1,142,8,195,20,1149,89
"JC05",6,48,50,1,5,"LRG",770,"Abbotts Hill Elementary School 5575 Abbotts Bridge Road",1212,87,278,16,98,4,293,10,372,21,2253,138
"JC06",6,48,50,1,5,"LRG",770,"Northview High School 10625 Parsons Road
Split (JC02, JC06)",1309,143,328,17,72,7,512,25,453,44,2674,236
"JC07",6,48,50,1,5,"LRG",770,"Wilson Creek Elementary Sch 6115 Wilson Rd",1840,143,476,33,121,9,1162,46,737,61,4336,292
"JC08",6,48,50,1,5,"LRG",770,"Taylor Road Middle School 5150 Taylor Road
Split (JC08, JC09)",1624,101,256,20,117,6,350,14,457,34,2804,175
"JC09",6,48,50,1,5,"LRG",770,"Taylor Road Middle School 5150 Taylor Road
Split (JC08, JC09)",1564,117,415,23,175,6,398,17,521,49,3073,212
"JC10",6,48,50,1,5,"LRG",770,"Messiah Lutheran Church 4765 Kimball Bridge Road
Split (AP14, JC04A, JC04B, JC04C, JC10, JC15)",1307,112,362,23,156,13,255,15,441,44,2521,207
"JC11",6,48,50,1,5,"LRG",770,"Johns Creek High School 5575 State Bridge Rd",1984,146,319,15,85,5,373,23,487,32,3248,221
"JC12",6,48,50,1,5,"LRG",770,"Dolvin Elementary School 10495 Jones Bridge Road
Split (JC12, JC14)",1679,90,167,6,31,1,343,5,378,20,2598,122
"JC13A",6,56,95,1,5,"LRG",774,"Autry Mill Middle School 4110 Old Alabama Road
Split (JC13A, JC13B)",1534,66,101,5,39,1,202,2,313,15,2189,89
"JC13B",6,48,50,1,5,"LRG",770,"Autry Mill Middle School 4110 Old Alabama Road
Split (JC13A, JC13B)",203,10,4,0,1,0,15,0,42,0,265,10
"JC14",6,56,50,1,5,"LRG",776,"Dolvin Elementary School 10495 Jones Bridge Road
Split (JC12, JC14)",1514,123,152,2,54,2,401,15,383,37,2504,179
"JC15",6,56,49,1,5,"LRG",777,"Messiah Lutheran Church 4765 Kimball Bridge Road
Split (AP14, JC04A, JC04B, JC04C, JC10, JC15)",420,24,126,5,91,0,67,4,167,15,871,48
"JC16",6,56,49,1,5,"LRG",777,"Prince Of Peace Lutheran Church 10250 Haynes Bridge Road",1719,112,200,9,109,3,166,7,378,32,2572,163
"JC18",6,56,51,1,7,"LRG",778,"Hillside Elem School 9250 Scott Rd
Split (JC18, RW22A)",2000,81,195,6,57,4,136,8,363,19,2751,118
"JC19",6,56,51,1,7,"LRG",778,"Johns Creek Environmental Campus 8100 Holcomb Bridge Rd
Split (JC19, RW21, SS01)",2521,153,476,25,137,8,201,9,590,52,3925,247
"ML01A",6,56,47,2,2,"LRG",1030,"Milton Library 855 Mayfield Rd
Split (ML01A, ML01B)",1740,110,104,2,63,3,279,7,385,24,2571,146
"ML01B",6,56,47,2,1,"LRG",1031,"Milton Library 855 Mayfield Rd
Split (ML01A, ML01B)",539,25,21,1,24,0,20,4,75,7,679,37
"ML02A",6,21,22,2,2,"LRG",1032,"Birmingham Falls Elem 14865 Birmingham Hwy
Split (ML02A, ML02B)",1881,97,83,2,58,3,56,2,330,32,2408,136
"ML02B",6,21,47,2,2,"LRG",1033,"Birmingham Falls Elem 14865 Birmingham Hwy
Split (ML02A, ML02B)",1356,43,73,1,31,1,50,0,259,22,1769,67
"ML03",6,21,47,2,2,"LRG",1033,"Hopewell Baptist Church 15730 Hopewell Rd
Split (ML03, ML07A, ML07B)",2926,168,149,5,71,0,97,1,570,50,3813,224
"ML04",6,21,47,2,2,"LRG",1033,"Cogburn Woods Elem School 13080 Cogburn Rd
Split (ML04, ML05)",2273,115,178,14,65,2,176,9,464,32,3156,172
"ML05",6,21,47,2,2,"LRG",1033,"Cogburn Woods Elem School 13080 Cogburn Rd
Split (ML04, ML05)",2775,220,541,26,182,12,273,3,763,63,4534,324
"ML06A",6,21,47,2,2,"LRG",1033,"Manning Oaks Elementary School 405 Cumming St
Split (AP07A, AP07B, ML06A)",885,137,495,42,130,16,108,6,374,53,1992,254
"ML06B",6,21,47,2,2,"LRG",1033,"Cambridge High School 2845 Bethany Bend",1433,142,478,34,204,9,276,15,522,49,2913,249
"ML07A",6,21,22,2,2,"LRG",1032,"Hopewell Baptist Church 15730 Hopewell Rd
Split (ML03, ML07A, ML07B)",587,34,23,2,33,3,13,1,95,6,751,46
"ML07B",6,21,47,2,2,"LRG",1033,"Hopewell Baptist Church 15730 Hopewell Rd
Split (ML03, ML07A, ML07B)",1056,46,83,3,43,2,87,2,248,18,1517,71
"MP01",6,56,47,2,1,"LRG",922,"Mountain Park Community Center 100 Lakeshore Dr",369,29,10,1,8,1,2,1,60,6,449,38
"PA01",13,35,65,6,4,"LRG",924,"Palmetto Library
9111 Cascade Palmetto Hwy",625,50,1610,92,96,3,15,1,399,25,2745,171
"RW01",6,56,48,2,1,"LRG",779,"Roswell Library 115 Norcross St
Split (RW01, RW10, RW11A)",3721,206,249,13,108,4,126,4,569,41,4773,268
"RW02",6,56,48,2,1,"LRG",779,"Independence High School 791 Mimosa Blvd
Split (RW02, RW03)",2816,152,235,17,106,1,125,6,576,41,3858,217
"RW03",6,56,48,2,1,"LRG",779,"Independence High School 791 Mimosa Blvd
Split (RW02, RW03)",2705,212,819,68,293,17,135,12,730,71,4682,380
"RW04",6,56,51,1,7,"LRG",780,"River Eves Elementary 9000 Eves Road",1402,83,73,2,49,2,35,2,253,21,1812,110
"RW05",6,56,48,2,1,"LRG",779,"Elkins Pointe Middle School 11290 Elkins Road",1219,99,600,42,247,9,83,14,462,60,2611,224
"RW06",6,56,51,1,7,"LRG",780,"Saint Mary's Orthodox Church 1950 Old Alabama Rd
Split (RW06, RW13)",1959,121,311,38,105,6,73,4,439,46,2887,215
"RW07A",6,56,48,1,1,"LRG",781,"Mimosa Elementary School 1550 Warsaw Rd
Split (AP03, RW07A, RW07B)",329,43,742,74,215,10,24,1,365,48,1675,176
"RW07B",6,56,48,2,1,"LRG",779,"Mimosa Elementary School 1550 Warsaw Rd
Split (AP03, RW07A, RW07B)",127,18,79,4,132,1,16,0,73,2,427,25
"RW08",6,56,48,2,1,"LRG",779,"Crosspointe Community Church 77 E Crossville Rd Suite 203",1785,132,103,6,64,5,49,0,301,30,2302,173
"RW09",6,56,47,2,1,"LRG",782,"North River Baptist Church 12090 Hardscrabble Road
Split (RW09, RW19)",4721,277,281,7,92,6,138,3,779,50,6011,343
"RW10",6,56,48,2,1,"LRG",779,"Roswell Library 115 Norcross St
Split (RW01, RW10, RW11A)",2781,153,119,10,77,0,64,1,418,21,3459,185
"RW11A",6,56,48,2,1,"LRG",779,"Roswell Library 115 Norcross St
Split (RW01, RW10, RW11A)",1850,118,385,24,96,6,40,3,386,37,2757,188
"RW12",6,56,47,2,1,"LRG",782,"Lebanon Church 11250 Crabapple Road
Split (RW12, RW16)",4515,301,308,15,137,4,258,8,848,51,6066,379
"RW13",6,56,48,1,7,"LRG",925,"Saint Mary's Orthodox Church 1950 Old Alabama Rd
Split (RW06, RW13)",2479,173,345,25,171,17,109,10,504,57,3608,282
"RW16",6,56,48,2,1,"LRG",779,"Lebanon Church 11250 Crabapple Road
Split (RW12, RW16)",1354,74,171,11,49,3,63,6,281,16,1918,110
"RW17",6,56,48,1,1,"LRG",781,"Jackson, Esther S Elem School 1400 Martin Rd",1770,152,457,37,155,12,44,2,498,56,2924,259
"RW19",6,56,47,2,1,"LRG",782,"North River Baptist Church 12090 Hardscrabble Road
Split (RW09, RW19)",1519,69,117,5,40,3,95,5,275,17,2046,99
"RW20",6,56,51,1,7,"LRG",780,"East Roswell Library
2301 Holcomb Bridge Road",1690,123,255,16,57,2,107,2,395,26,2504,169
"RW21",6,56,51,1,7,"LRG",780,"Johns Creek Environmental Campus 8100 Holcomb Bridge Rd
Split (JC19, RW21, SS01)",2262,134,317,30,105,5,113,5,389,25,3186,199
"RW22A",6,56,51,1,7,"LRG",780,"Hillside Elem School 9250 Scott Rd
Split (JC18, RW22A)",2208,230,1133,111,237,21,135,14,818,73,4531,449
"SC01A",5,38,61,6,4,"01",991,"Wolf Creek Library 3100 Enon Rd Sw
Split (FC01, SC01A, SC01B, SC01C, SC20)",3,0,15,1,0,0,0,0,4,0,22,1
"SC01B",5,38,61,6,4,"02",1027,"Wolf Creek Library 3100 Enon Rd Sw
Split (FC01, SC01A, SC01B, SC01C, SC20)",26,3,1575,46,11,0,4,0,266,16,1882,65
"SC01C",5,38,61,6,4,"01",991,"Wolf Creek Library 3100 Enon Rd Sw
Split (FC01, SC01A, SC01B, SC01C, SC20)",34,1,1842,42,8,1,6,0,292,12,2182,56
"SC02",5,38,55,6,4,"01",1004,"Southwest Art Center 915 New Hope Rd",16,2,1203,29,3,0,3,0,168,2,1393,33
"SC04",13,35,65,6,4,"04",993,"Fire Station No. 17 8675 Ridge Rd",285,14,540,23,20,1,1,1,150,6,996,45
"SC05A",13,35,65,6,4,"03",996,"Cliftondale Community House 4645 Butner Rd
Split (SC05A, SC05D, SC05E)",10,0,582,15,5,0,1,1,92,4,690,20
"SC05B",13,35,62,5,4,"03",997,"Cliftondale Church 4095 Stonewall Tell Rd",88,6,2805,110,26,2,6,2,515,23,3440,143
"SC05D",13,35,62,6,4,"04",998,"Cliftondale Community House 4645 Butner Rd
Split (SC05A, SC05D, SC05E)",75,4,2033,60,23,1,5,0,362,16,2498,81
"SC05E",13,35,62,6,4,"03",1014,"Cliftondale Community House 4645 Butner Rd
Split (SC05A, SC05D, SC05E)",86,3,475,18,8,0,4,0,87,5,660,26
"SC07A",13,35,65,6,4,"04",993,"Bear Creek Middle School 7415 Herndon Rd
Split (SC07A, SC07C)",486,34,4557,167,92,3,21,1,901,45,6057,250
"SC07C",13,35,65,6,4,"07",1022,"Bear Creek Middle School 7415 Herndon Rd
Split (SC07A, SC07C)",10,0,18,1,4,1,0,0,3,0,35,2
"SC08B",13,39,64,6,6,"05",1016,"Banneker High School 6015 Feldwood Rd Split (SC08B, SC08C, SC08D, SC08E, SC08F, SC08G, SC08H)",124,5,3155,99,36,4,14,0,469,24,3798,132
"SC08C",13,39,62,5,6,"03",999,"Banneker High School 6015 Feldwood Rd Split (SC08B, SC08C, SC08D, SC08E, SC08F, SC08G, SC08H)",1,0,70,2,3,0,1,0,13,1,88,3
"SC08D",13,39,63,6,6,"05",1011,"Banneker High School 6015 Feldwood Rd Split (SC08B, SC08C, SC08D, SC08E, SC08F, SC08G, SC08H)",7,1,433,18,8,0,1,0,92,2,541,21
"SC08E",13,35,64,6,6,"05",1010,"Banneker High School 6015 Feldwood Rd Split (SC08B, SC08C, SC08D, SC08E, SC08F, SC08G, SC08H)",9,1,541,20,4,1,3,0,95,6,652,28
"SC08F",13,39,65,5,6,"03",1001,"Banneker High School 6015 Feldwood Rd Split (SC08B, SC08C, SC08D, SC08E, SC08F, SC08G, SC08H)",24,0,614,20,1,0,1,0,100,3,740,23
"SC08G",13,39,65,6,6,"05",1015,"Banneker High School 6015 Feldwood Rd Split (SC08B, SC08C, SC08D, SC08E, SC08F, SC08G, SC08H)",2,0,5,0,0,0,0,0,2,0,9,0
"SC08H",13,39,65,6,6,"03",1019,"Banneker High School 6015 Feldwood Rd Split (SC08B, SC08C, SC08D, SC08E, SC08F, SC08G, SC08H)",0,1,1,0,0,0,0,0,0,1,1,2
"SC09A",13,39,63,6,6,"05",1011,"Burdett Park Gym 2945 Burdett Rd
Split (SC09A, SC09B, SC09C, SC27)",28,0,1464,86,18,1,21,0,223,17,1754,104
"SC09B",13,39,64,6,6,"05",1016,"Burdett Park Gym 2945 Burdett Rd
Split (SC09A, SC09B, SC09C, SC27)",32,3,1533,53,15,0,7,0,216,7,1803,63
"SC09C",13,39,63,6,6,"06",1012,"Burdett Park Gym 2945 Burdett Rd
Split (SC09A, SC09B, SC09C, SC27)",32,1,1471,46,15,1,4,0,212,12,1734,60
"SC10",13,39,63,6,6,"05",1011,"Tracey Wyatt Recreation Center 2300 Godby Rd
Split (CP081, CP083, CP084, CP08A, SC10)",48,3,1533,106,21,2,2,0,187,20,1791,131
"SC11A",13,39,63,6,6,"06",1012,"Creel Park
2775 Creel Road
Split (SC11A, SC11B)",27,1,1282,47,6,0,2,0,187,5,1504,53
"SC11B",13,39,64,6,6,"06",1013,"Creel Park
2775 Creel Road
Split (SC11A, SC11B)",25,2,1335,43,13,1,3,0,188,3,1564,49
"SC13",13,35,65,6,4,"04",993,"Langston Hughes High School 7510 Hall Road",140,5,2138,92,33,3,4,0,380,30,2695,130
"SC14A",5,38,61,6,4,"01",991,"Southwest Regional Library 3665 Cascade Rd
Split (SC14A, SC30A, SC30B)",19,2,824,57,9,0,2,1,125,8,979,68
"SC15",13,35,62,6,4,"02",992,"The Enon Church 3550 Enon Rd",184,20,5392,236,66,5,21,0,911,55,6574,316
"SC16A",5,38,61,6,4,"01",991,"Sandtown Park Recreation Center 5320 Campbellton Rd
Split (FC03, SC16A)",81,4,4154,173,23,3,14,1,615,36,4887,217
"SC17A",13,39,62,5,6,"03",999,"Welcome All Park, Community House 4255 Will Lee Road Split (SC17A, SC17B, SC17C, SC18A, SC18B, SC18C)",1,0,47,6,0,0,0,0,4,1,52,7
"SC17B",13,39,65,5,6,"03",1001,"Welcome All Park, Community House 4255 Will Lee Road Split (SC17A, SC17B, SC17C, SC18A, SC18B, SC18C)",7,0,2,0,0,0,0,0,2,1,11,1
"SC17C",13,39,64,5,6,"03",1002,"Welcome All Park, Community House 4255 Will Lee Road Split (SC17A, SC17B, SC17C, SC18A, SC18B, SC18C)",31,5,1009,23,8,0,3,0,126,8,1177,36
"SC18A",5,35,61,5,4,"02",1003,"Welcome All Park, Community House 4255 Will Lee Road Split (SC17A, SC17B, SC17C, SC18A, SC18B, SC18C)",12,3,444,27,10,0,1,0,78,7,545,37
"SC18B",13,35,62,5,4,"02",994,"Welcome All Park, Community House 4255 Will Lee Road Split (SC17A, SC17B, SC17C, SC18A, SC18B, SC18C)",28,1,643,8,7,1,3,0,108,3,789,13
"SC18C",13,35,62,5,4,"03",997,"Welcome All Park, Community House 4255 Will Lee Road Split (SC17A, SC17B, SC17C, SC18A, SC18B, SC18C)",61,3,1627,36,12,0,3,0,245,4,1948,43
"SC19A",13,39,62,5,6,"03",999,"Solid Rock Pentecostal Church 4707 Washington Rd
Split (SC19A, SC19B)",7,0,164,3,1,0,0,0,31,1,203,4
"SC19B",13,39,64,5,6,"03",1002,"Solid Rock Pentecostal Church 4707 Washington Rd
Split (SC19A, SC19B)",45,0,1208,36,22,1,2,0,179,11,1456,48
"SC20",13,35,62,5,4,"02",994,"Wolf Creek Library 3100 Enon Rd Sw
Split (FC01, SC01A, SC01B, SC01C, SC20)",58,5,1950,80,15,1,7,0,329,16,2359,102
"SC211",13,35,64,6,6,"07",1005,"Christian City Welcome Center 7345 Red Oak Rd
Split (SC211, SC212, UC031, UC032)",53,2,1287,55,19,1,3,0,225,16,1587,74
"SC212",13,35,64,6,4,"07",1006,"Christian City Welcome Center 7345 Red Oak Rd
Split (SC211, SC212, UC031, UC032)",169,17,3065,152,98,2,16,2,566,41,3914,214
"SC23A",13,39,63,6,6,"06",1012,"New Life Presbyterian Church 6600 Old National Hwy
Split (SC23A, SC23B, SC23C)",58,5,2966,118,34,4,9,0,436,33,3503,160
"SC23B",13,39,64,6,6,"07",1008,"New Life Presbyterian Church 6600 Old National Hwy
Split (SC23A, SC23B, SC23C)",33,1,403,15,14,1,0,0,63,0,513,17
"SC23C",13,39,63,6,6,"07",1007,"New Life Presbyterian Church 6600 Old National Hwy
Split (SC23A, SC23B, SC23C)",43,3,2045,70,38,0,11,0,333,9,2470,82
"SC27",13,39,63,6,6,"06",1012,"Burdett Park Gym 2945 Burdett Rd
Split (SC09A, SC09B, SC09C, SC27)",51,0,1928,75,16,0,4,1,260,13,2259,89
